TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,358938,386423,278717,337372,
I. Tien va cac khoan tuong duong tien,,26982,131939,137193,64081,
1. Tien,,26982,30756,1956,37081,
2. Cac khoan tuong duong tien,,,101183,135237,27000,
II. Dau tu tai chinh ngan han,,8106,8106,1009,51009,
1. Chung khoan kinh doanh,,2050,2050,2050,2050,
2. Du phong giam gia chung khoan kinh doanh (*),,(1041),(1041),(1041),(1041),
3. Dau tu nam giu den ngay dao han,,7097,7097,,50000,
III. Cac khoan phai thu ngan han,,62284,84910,52850,66369,
1. Phai thu ngan han cua khach hang,,41016,68071,50492,43142,
2. Tra truoc cho nguoi ban ngan han,,24808,20581,5595,27027,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,543,340,1024,581,
7. Du phong phai thu ngan han kho doi (*),,(4546),(4546),(4724),(4844),
8. Tai san thieu cho xu ly,,463,463,463,463,
IV. Hang ton kho,,259580,159567,86678,155003,
1. Hang ton kho,,259580,159567,86678,155003,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,1985,1901,987,910,
1. Chi phi tra truoc ngan han,,652,498,374,910,
2. Thue GTGT duoc khau tru,,1333,1403,613,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,67261,68903,67287,56803,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,45747,46691,44632,40961,
1. Tai san co dinh huu hinh,,45504,46460,44413,40755,
- Nguyen gia,,78081,80328,78722,74954,
- Gia tri hao mon luy ke (*),,(32576),(33868),(34308),(34199),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,243,231,219,207,
- Nguyen gia,,311,311,311,311,
- Gia tri hao mon luy ke (*),,(68),(80),(92),(104),
III. Bat dong san dau tu,,2098,2048,1997,1946,
- Nguyen gia,,4515,4515,4515,4515,
- Gia tri hao mon luy ke (*),,(2417),(2468),(2519),(2570),
IV. Tai san do dang dai han,,309,93,1029,822,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,309,93,1029,822,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,19107,20072,19630,13073,
1. Chi phi tra truoc dai han,,19107,20072,19630,13073,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,426198,455326,346005,394175,
NGUON VON,,,,,,
A. NO PHAI TRA,,271592,290494,170104,211168,
I. No ngan han,,267670,281677,165036,206100,
1. Phai tra nguoi ban ngan han,,2216,3341,11653,4779,
2. Nguoi mua tra tien truoc ngan han,,347,6776,685,863,
3. Thue va cac khoan phai nop Nha nuoc,,1353,47,,3408,
4. Phai tra nguoi lao dong,,2127,1614,2033,1274,
5. Chi phi phai tra ngan han,,275,4356,4018,393,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,70,,,,
9. Phai tra ngan han khac,,712,778,5551,3156,
10. Vay va no thue tai chinh ngan han,,260274,264569,140935,192155,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,296,196,161,72,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,3921,8816,5068,5068,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,105,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,3816,8816,5068,5068,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,154607,164832,175901,183007,
I. Von chu so huu,,154607,164832,175901,183007,
1. Von gop cua chu so huu,,147280,147280,147280,147280,
- Co phieu pho thong co quyen bieu quyet,,147280,147280,147280,147280,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,24895,24895,24895,24895,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,49617,49617,49607,49607,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,(67186),(56960),(45881),(38776),
- LNST chua phan phoi luy ke den cuoi ky truoc,,(70661),(70661),(70661),(45881),
- LNST chua phan phoi ky nay,,3475,13701,24779,7106,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,426198,455326,346005,394175,
