TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,76693,88707,93662,139069,
I. Tien va cac khoan tuong duong tien,,18025,23977,9109,22575,
1. Tien,,6013,3179,4889,12575,
2. Cac khoan tuong duong tien,,12012,20798,4220,10000,
II. Dau tu tai chinh ngan han,,5292,4547,11209,7977,
1. Chung khoan kinh doanh,,5292,4547,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,11209,7977,
III. Cac khoan phai thu ngan han,,19213,29835,52561,85359,
1. Phai thu ngan han cua khach hang,,21273,31191,56205,62054,
2. Tra truoc cho nguoi ban ngan han,,2317,2507,240,24447,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,4904,4757,4933,11062,
7. Du phong phai thu ngan han kho doi (*),,(9281),(8620),(8816),(12204),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,31826,29324,20634,22998,
1. Hang ton kho,,32667,30001,21215,24549,
2. Du phong giam gia hang ton kho (*),,(841),(676),(581),(1551),
V. Tai san ngan han khac,,2337,1023,149,160,
1. Chi phi tra truoc ngan han,,1916,373,66,,
2. Thue GTGT duoc khau tru,,30,,11,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,208,24,72,160,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,183,626,,,
B. TAI SAN DAI HAN,,83193,76018,92759,111242,
I. Cac khoan phai thu dai han,,,,881,1152,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,881,1152,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,78962,72983,89301,101284,
1. Tai san co dinh huu hinh,,75011,71838,88407,100606,
- Nguyen gia,,181443,195219,229880,267760,
- Gia tri hao mon luy ke (*),,(106432),(123381),(141473),(167154),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,1397,1145,893,678,
- Nguyen gia,,5046,4680,4680,4680,
- Gia tri hao mon luy ke (*),,(3649),(3535),(3786),(4001),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,960,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,2554,,,960,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,4231,3035,2577,3865,
1. Chi phi tra truoc dai han,,3342,2043,2489,3679,
2. Tai san thue thu nhap hoan lai,,213,275,88,187,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,676,716,,,
VII. Loi the thuong mai,,,,,3980,
TONG CONG TAI SAN,,159886,164725,186421,250311,
NGUON VON,,,,,,
A. NO PHAI TRA,,20397,23907,34436,60550,
I. No ngan han,,20327,23837,34436,59564,
1. Phai tra nguoi ban ngan han,,5673,7056,9831,14889,
2. Nguoi mua tra tien truoc ngan han,,1886,1187,1906,27969,
3. Thue va cac khoan phai nop Nha nuoc,,1520,3650,4013,5241,
4. Phai tra nguoi lao dong,,8191,7787,9140,7494,
5. Chi phi phai tra ngan han,,545,2274,1136,1091,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1459,933,1523,936,
10. Vay va no thue tai chinh ngan han,,,,5000,,
11. Du phong phai tra ngan han,,,,987,1047,
12. Quy khen thuong phuc loi,,1053,952,901,896,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,70,70,,987,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,987,
13. Quy phat trien khoa hoc va cong nghe,,70,70,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,131050,133034,151985,189760,
I. Von chu so huu,,131050,133034,151985,189760,
1. Von gop cua chu so huu,,85000,85000,85000,85000,
- Co phieu pho thong co quyen bieu quyet,,,,85000,85000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,21379,21379,21379,21379,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(4372),(4372),(4372),(4372),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,12178,12257,17550,23555,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,13066,14004,23053,50279,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,6238,17593,
- LNST chua phan phoi ky nay,,,,16815,32686,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,9375,13921,
14. Quy du phong tai chinh,,3799,4766,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,8439,7784,,,
TONG CONG NGUON VON,,159886,164725,186421,250311,
