TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,176196,137387,107785,109393,
I. Tien va cac khoan tuong duong tien,,3953,1332,3576,3080,
1. Tien,,3953,1332,3576,3080,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,137616,101091,69106,73899,
1. Phai thu ngan han cua khach hang,,62087,24087,1213,4747,
2. Tra truoc cho nguoi ban ngan han,,548,14624,513,477,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,21400,21400,33400,63400,
6. Phai thu ngan han khac,,53581,40980,33980,5275,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,32410,32752,32866,30106,
1. Hang ton kho,,32410,32752,32866,30106,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,2217,2211,2237,2308,
1. Chi phi tra truoc ngan han,,8,,,14,
2. Thue GTGT duoc khau tru,,2206,2211,2237,2233,
3. Thue va cac khoan khac phai thu cua nha nuoc,,3,,,62,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,119558,119585,119434,118286,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,4100,3855,3550,3245,
1. Tai san co dinh huu hinh,,4100,3855,3550,3245,
- Nguyen gia,,11100,11100,11100,11100,
- Gia tri hao mon luy ke (*),,(7001),(7245),(7550),(7855),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,81258,81530,81684,80841,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,81258,81530,81684,80841,
V. Dau tu tai chinh dai han,,34200,34200,34200,34200,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,34200,34200,34200,34200,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,,,,,
1. Chi phi tra truoc dai han,,,,,,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,295754,256972,227219,227679,
NGUON VON,,,,,,
A. NO PHAI TRA,,73636,34316,5611,5898,
I. No ngan han,,73636,34316,5611,5898,
1. Phai tra nguoi ban ngan han,,69346,31346,2554,2504,
2. Nguoi mua tra tien truoc ngan han,,,,,,
3. Thue va cac khoan phai nop Nha nuoc,,,,,321,
4. Phai tra nguoi lao dong,,191,65,,65,
5. Chi phi phai tra ngan han,,,,,,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,2,109,261,211,
10. Vay va no thue tai chinh ngan han,,1300,,,,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,2796,2796,2796,2796,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,,,,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,222118,222655,221608,221781,
I. Von chu so huu,,222118,222655,221608,221781,
1. Von gop cua chu so huu,,246330,246330,246330,246330,
- Co phieu pho thong co quyen bieu quyet,,246330,246330,246330,246330,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(2),(2),(2),(2),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,5145,5145,5145,,
9. Quy ho tro sap xep doanh nghiep,,,,,5145,
10. Quy khac thuoc von chu so huu,,2796,2796,2796,2796,
11. Loi nhuan sau thue chua phan phoi,,(41141),(40599),(41641),(40644),
- LNST chua phan phoi luy ke den cuoi ky truoc,,(31412),(31412),(31412),(40270),
- LNST chua phan phoi ky nay,,(9730),(9187),(10230),(374),
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,8990,8985,8980,8155,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,295754,256972,227219,227679,
