TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1144605,1805200,1527240,1875454,
I. Tien va cac khoan tuong duong tien,,2895,29740,22027,113235,
1. Tien,,2895,4740,22027,62011,
2. Cac khoan tuong duong tien,,,25000,,51225,
II. Dau tu tai chinh ngan han,,,20000,,,
1. Chung khoan kinh doanh,,,20000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,347171,318569,211080,672209,
1. Phai thu ngan han cua khach hang,,27272,57811,26943,256286,
2. Tra truoc cho nguoi ban ngan han,,268260,246749,180308,122082,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,51638,14009,3830,293840,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,791091,1420850,1277761,1080300,
1. Hang ton kho,,791091,1420850,1277761,1080300,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,3449,16042,16372,9709,
1. Chi phi tra truoc ngan han,,34,223,1402,2226,
2. Thue GTGT duoc khau tru,,2277,4637,4969,7282,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,10405,10001,202,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1138,777,,,
B. TAI SAN DAI HAN,,130067,314421,787396,930082,
I. Cac khoan phai thu dai han,,,,43825,54517,
1. Phai thu dai han cua khach hang,,,,14663,34788,
2. Tra truoc cho nguoi ban dai han,,,,8884,8884,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,20278,10845,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1132,54824,118691,141310,
1. Tai san co dinh huu hinh,,1117,48095,106274,129567,
- Nguyen gia,,2974,78008,143154,174413,
- Gia tri hao mon luy ke (*),,(1857),(29913),(36879),(44846),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,15,6729,12417,11743,
- Nguyen gia,,42,9468,15744,15818,
- Gia tri hao mon luy ke (*),,(27),(2739),(3327),(4075),
III. Bat dong san dau tu,,,2436,,,
- Nguyen gia,,,2436,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,82420,491956,596537,
1. Chi phi san xuat kinh doanh do dang dai han,,,,486172,586022,
2. Chi phi xay dung co ban do dang,,,82420,5784,10515,
V. Dau tu tai chinh dai han,,50952,89343,43890,38390,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,89343,,38390,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,50952,,43890,,
VI. Tai san dai han khac,,3605,18490,29594,47362,
1. Chi phi tra truoc dai han,,3604,18308,29376,46888,
2. Tai san thue thu nhap hoan lai,,,,218,474,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,1,182,,,
VII. Loi the thuong mai,,74378,66909,59440,51967,
TONG CONG TAI SAN,,1274672,2119622,2314636,2805536,
NGUON VON,,,,,,
A. NO PHAI TRA,,1039372,1218880,1312520,1625336,
I. No ngan han,,1039272,990756,248137,664160,
1. Phai tra nguoi ban ngan han,,1040,10290,48683,44731,
2. Nguoi mua tra tien truoc ngan han,,13415,10434,96306,218656,
3. Thue va cac khoan phai nop Nha nuoc,,3851,30861,69676,100259,
4. Phai tra nguoi lao dong,,99,2285,5511,4007,
5. Chi phi phai tra ngan han,,585560,907844,1506,1522,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,5,,
9. Phai tra ngan han khac,,435307,3184,5184,271056,
10. Vay va no thue tai chinh ngan han,,,25736,14400,14700,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,,122,6865,9230,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,100,228124,1064383,961176,
1. Phai tra nguoi ban dai han,,,,11,,
2. Nguoi mua tra tien truoc dai han,,,,100587,56454,
3. Chi phi phai tra dai han,,,,922377,818697,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,176030,,,
7. Phai tra dai han khac,,,11,,,
8. Vay va no thue tai chinh dai han,,100,52083,41408,86025,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,235224,900742,1002117,1180200,
I. Von chu so huu,,235224,800259,1002117,1180200,
1. Von gop cua chu so huu,,227992,750000,750000,884998,
- Co phieu pho thong co quyen bieu quyet,,227992,750000,750000,884998,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,419,4138,4138,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,7232,49840,207195,245948,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,73509,87208,
- LNST chua phan phoi ky nay,,,,133685,158740,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,40784,45117,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,75,100482,,,
TONG CONG NGUON VON,,1274672,2119622,2314636,2805536,
