TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1976446,1819565,1874010,2322906,
I. Tien va cac khoan tuong duong tien,,1119875,800156,802671,1063122,
1. Tien,,109840,17252,34002,37118,
2. Cac khoan tuong duong tien,,1010035,782903,768669,1026003,
II. Dau tu tai chinh ngan han,,15000,15389,15843,204393,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,15000,15389,15843,204393,
III. Cac khoan phai thu ngan han,,654010,805206,835718,990360,
1. Phai thu ngan han cua khach hang,,295286,328429,321172,300893,
2. Tra truoc cho nguoi ban ngan han,,53556,53182,23506,81803,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,103957,192968,229036,229036,
6. Phai thu ngan han khac,,206284,236002,267378,383704,
7. Du phong phai thu ngan han kho doi (*),,(5073),(5374),(5374),(5075),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,66915,60477,76418,33948,
1. Hang ton kho,,67954,61516,77457,34575,
2. Du phong giam gia hang ton kho (*),,(1039),(1039),(1039),(628),
V. Tai san ngan han khac,,120646,138337,143361,31084,
1. Chi phi tra truoc ngan han,,1610,911,360,713,
2. Thue GTGT duoc khau tru,,117274,135566,141223,28808,
3. Thue va cac khoan khac phai thu cua nha nuoc,,1761,1861,1778,1563,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,5686111,6332901,6307807,6495673,
I. Cac khoan phai thu dai han,,1150204,1189962,1094370,1118647,
1. Phai thu dai han cua khach hang,,387849,387849,262140,262140,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,231425,231425,231425,231425,
6. Phai thu dai han khac,,530929,570688,600804,625081,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1305323,1582213,1554197,3058209,
