TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,854891,932636,903054,939212,
I. Tien va cac khoan tuong duong tien,,168358,221670,254523,178925,
1. Tien,,30373,20680,46863,29416,
2. Cac khoan tuong duong tien,,137985,200991,207660,149509,
II. Dau tu tai chinh ngan han,,7224,7224,12442,45474,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,7224,7224,12442,45474,
III. Cac khoan phai thu ngan han,,400795,406228,418950,451097,
1. Phai thu ngan han cua khach hang,,330516,325779,290594,276141,
2. Tra truoc cho nguoi ban ngan han,,9891,12031,14674,11633,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,60633,68663,138543,184801,
7. Du phong phai thu ngan han kho doi (*),,(245),(245),(24861),(21478),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,273834,293897,216299,262679,
1. Hang ton kho,,273834,293897,216299,262679,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,4680,3617,840,1037,
1. Chi phi tra truoc ngan han,,4680,3617,840,1037,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,622469,617945,623639,623319,
I. Cac khoan phai thu dai han,,7823,2823,2520,2520,
1. Phai thu dai han cua khach hang,,7823,2823,2520,2520,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,5000,5000,5000,5000,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,(5000),(5000),(5000),(5000),
II. Tai san co dinh,,50748,48972,49288,48273,
1. Tai san co dinh huu hinh,,50444,48702,49051,48068,
- Nguyen gia,,83789,82887,83521,83668,
- Gia tri hao mon luy ke (*),,(33345),(34185),(34470),(35600),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,304,271,237,204,
- Nguyen gia,,1314,1314,1314,1314,
- Gia tri hao mon luy ke (*),,(1010),(1043),(1076),(1109),
III. Bat dong san dau tu,,286284,280875,293610,287884,
- Nguyen gia,,385708,385708,403915,403915,
- Gia tri hao mon luy ke (*),,(99424),(104833),(110306),(116031),
IV. Tai san do dang dai han,,50225,57990,51029,57642,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,50225,57990,51029,57642,
V. Dau tu tai chinh dai han,,225158,225158,225158,225158,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,145528,145528,145528,145528,
3. Dau tu gop von vao don vi khac,,106305,106305,106305,106305,
4. Du phong dau tu tai chinh dai han (*),,(26675),(26675),(26675),(26675),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,2232,2127,2033,1843,
1. Chi phi tra truoc dai han,,2232,2127,2033,1843,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1477360,1550581,1526692,1562531,
NGUON VON,,,,,,
A. NO PHAI TRA,,800259,852317,869843,933657,
I. No ngan han,,509491,532325,546956,617299,
1. Phai tra nguoi ban ngan han,,11064,12891,11312,10611,
2. Nguoi mua tra tien truoc ngan han,,175889,237281,84689,100158,
3. Thue va cac khoan phai nop Nha nuoc,,5716,8194,9040,7570,
4. Phai tra nguoi lao dong,,1851,1784,5268,219,
5. Chi phi phai tra ngan han,,222864,209422,369264,360990,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,57995,38321,39416,98099,
10. Vay va no thue tai chinh ngan han,,25751,16402,21600,16290,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,8362,8030,6367,23362,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,290768,319993,322887,316358,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,904,904,882,882,
7. Phai tra dai han khac,,27255,51415,54857,52163,
8. Vay va no thue tai chinh dai han,,52640,52640,49540,52940,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,209969,215034,217608,210373,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,677101,698264,656849,628874,
I. Von chu so huu,,677101,698264,656849,628874,
1. Von gop cua chu so huu,,260826,260826,260826,260826,
- Co phieu pho thong co quyen bieu quyet,,260826,260826,260826,260826,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(722),(722),(722),(722),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,79296,79296,79296,79296,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,337701,358863,317449,289474,
- LNST chua phan phoi luy ke den cuoi ky truoc,,298979,298979,155834,274351,
- LNST chua phan phoi ky nay,,38722,59885,161615,15123,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,1477360,1550581,1526692,1562531,
