TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,358544,411015,527500,418998,
I. Tien va cac khoan tuong duong tien,,73947,121088,245600,128262,
1. Tien,,20447,27588,20600,8262,
2. Cac khoan tuong duong tien,,53500,93500,225000,120000,
II. Dau tu tai chinh ngan han,,20000,35000,,,
1. Chung khoan kinh doanh,,20000,35000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,130625,108858,102126,108071,
1. Phai thu ngan han cua khach hang,,107993,92873,86382,105475,
2. Tra truoc cho nguoi ban ngan han,,21378,15127,14599,1559,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1253,858,1146,1037,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,122841,120227,146631,139426,
1. Hang ton kho,,122841,120227,146631,139426,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,11131,25842,33143,43239,
1. Chi phi tra truoc ngan han,,99,5,321,11,
2. Thue GTGT duoc khau tru,,11012,25130,32822,43227,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,673,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,20,34,,,
B. TAI SAN DAI HAN,,173110,205052,264602,361512,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,152608,184702,187880,280465,
1. Tai san co dinh huu hinh,,118337,150824,155539,248936,
- Nguyen gia,,192772,235573,253471,360239,
- Gia tri hao mon luy ke (*),,(74435),(84749),(97932),(111303),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,33966,33154,32341,31528,
- Nguyen gia,,37913,37913,37913,37913,
- Gia tri hao mon luy ke (*),,(3947),(4759),(5572),(6384),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,410,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,305,725,410,,
V. Dau tu tai chinh dai han,,,,55000,55000,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,55000,55000,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,20502,20350,21312,26047,
1. Chi phi tra truoc dai han,,17981,17415,17048,22001,
2. Tai san thue thu nhap hoan lai,,2517,2931,4264,4045,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,3,3,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,531654,616067,792102,780510,
NGUON VON,,,,,,
A. NO PHAI TRA,,207314,250249,339342,329343,
I. No ngan han,,168687,211511,301429,301410,
1. Phai tra nguoi ban ngan han,,74265,67209,90121,140360,
2. Nguoi mua tra tien truoc ngan han,,2573,4135,3025,12097,
3. Thue va cac khoan phai nop Nha nuoc,,2307,9614,27527,13443,
4. Phai tra nguoi lao dong,,27215,33826,41949,39448,
5. Chi phi phai tra ngan han,,10068,13322,19382,11889,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1405,1724,1906,6383,
10. Vay va no thue tai chinh ngan han,,44905,73988,111112,71658,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,5948,7694,6406,6132,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,38627,38738,37913,27933,
1. Phai tra nguoi ban dai han,,33559,34465,33553,23545,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,5068,4273,4360,4388,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,324340,365817,452760,451167,
I. Von chu so huu,,324340,365817,452760,451167,
1. Von gop cua chu so huu,,216000,216000,216000,324000,
- Co phieu pho thong co quyen bieu quyet,,,,216000,324000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,20802,24248,60330,6343,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,76738,112701,176431,120824,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,27452,28313,
- LNST chua phan phoi ky nay,,,,148978,92511,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,10800,12868,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,531654,616067,792102,780510,
