TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1154006,707547,801473,1101426,
I. Tien va cac khoan tuong duong tien,,127708,22984,230409,44372,
1. Tien,,52239,21484,24409,31828,
2. Cac khoan tuong duong tien,,75469,1500,206000,12543,
II. Dau tu tai chinh ngan han,,14841,12054,,3000,
1. Chung khoan kinh doanh,,21879,12054,,,
2. Du phong giam gia chung khoan kinh doanh (*),,(7038),,,,
3. Dau tu nam giu den ngay dao han,,,,,3000,
III. Cac khoan phai thu ngan han,,482756,244589,318445,342295,
1. Phai thu ngan han cua khach hang,,106791,61538,175042,130541,
2. Tra truoc cho nguoi ban ngan han,,369726,167684,120213,142931,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,
