TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1961148,1316675,1267205,1033521,
I. Tien va cac khoan tuong duong tien,,31551,26140,137301,12241,
1. Tien,,31551,26140,114301,9104,
2. Cac khoan tuong duong tien,,,,23000,3137,
II. Dau tu tai chinh ngan han,,205,13644,20193,158,
1. Chung khoan kinh doanh,,342,13842,342,342,
2. Du phong giam gia chung khoan kinh doanh (*),,(137),(197),(149),(185),
3. Dau tu nam giu den ngay dao han,,,,20000,,
III. Cac khoan phai thu ngan han,,700835,522435,553878,616667,
1. Phai thu ngan han cua khach hang,,508633,430222,399285,427913,
2. Tra truoc cho nguoi ban ngan han,,133620,79864,86027,80185,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,64413,25121,80045,118850,
7. Du phong phai thu ngan han kho doi (*),,(5831),(12772),(11972),(10776),
8. Tai san thieu cho xu ly,,,,494,494,
IV. Hang ton kho,,1192932,687446,553844,403701,
1. Hang ton kho,,1279574,774087,627742,477599,
2. Du phong giam gia hang ton kho (*),,(86642),(86642),(73897),(73897),
V. Tai san ngan han khac,,35624,67010,1989,755,
1. Chi phi tra truoc ngan han,,294,107,175,282,
2. Thue GTGT duoc khau tru,,4584,3760,1814,473,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,30746,63143,,,
B. TAI SAN DAI HAN,,822662,943092,816970,855156,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,312891,411187,189737,547699,
1. Tai san co dinh huu hinh,,55636,32214,189737,547699,
- Nguyen gia,,160734,120331,280724,649976,
- Gia tri hao mon luy ke (*),,(105098),(88117),(90988),(102277),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,415736,214705,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,257255,378972,415736,214705,
V. Dau tu tai chinh dai han,,509227,531548,211151,92431,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,491983,508517,186735,63025,
3. Dau tu gop von vao don vi khac,,,,60848,59348,
4. Du phong dau tu tai chinh dai han (*),,(45073),(38577),(36431),(29942),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,62318,61608,,,
VI. Tai san dai han khac,,544,357,346,321,
1. Chi phi tra truoc dai han,,513,326,317,292,
2. Tai san thue thu nhap hoan lai,,29,29,29,29,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,2,2,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,2783810,2259767,2084175,1888677,
NGUON VON,,,,,,
A. NO PHAI TRA,,2251610,1684911,1485959,1281527,
I. No ngan han,,1602540,1154723,1075268,870965,
1. Phai tra nguoi ban ngan han,,290009,226694,216911,227340,
2. Nguoi mua tra tien truoc ngan han,,485588,161160,47335,46907,
3. Thue va cac khoan phai nop Nha nuoc,,17236,24310,37155,40201,
4. Phai tra nguoi lao dong,,15063,5634,3436,5022,
5. Chi phi phai tra ngan han,,84333,56807,182162,183095,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,2125,,
9. Phai tra ngan han khac,,173812,208221,227548,198349,
