TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,76128,63136,386901,442304,
I. Tien va cac khoan tuong duong tien,,41253,1997,6422,11500,
1. Tien,,22066,1997,2680,3882,
2. Cac khoan tuong duong tien,,19187,,3742,7617,
II. Dau tu tai chinh ngan han,,2051,351,186001,402435,
1. Chung khoan kinh doanh,,2051,351,187180,434771,
2. Du phong giam gia chung khoan kinh doanh (*),,,,(1179),(33036),
3. Dau tu nam giu den ngay dao han,,,,,700,
III. Cac khoan phai thu ngan han,,28387,56299,192075,22780,
1. Phai thu ngan han cua khach hang,,24338,59012,14147,13118,
2. Tra truoc cho nguoi ban ngan han,,1417,4303,258,205,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,10165,3785,188568,19041,
7. Du phong phai thu ngan han kho doi (*),,(7532),(10801),(10899),(9584),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,6,3,1,-,
1. Hang ton kho,,6,3,1,-,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,4431,4485,2402,5590,
1. Chi phi tra truoc ngan han,,282,534,392,281,
2. Thue GTGT duoc khau tru,,671,365,1437,1591,
3. Thue va cac khoan khac phai thu cua nha nuoc,,567,575,574,3718,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2911,3011,,,
B. TAI SAN DAI HAN,,153170,193541,75999,72792,
I. Cac khoan phai thu dai han,,,10000,10000,10000,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,10000,10000,10000,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,39814,34127,35479,5602,
1. Tai san co dinh huu hinh,,37127,33320,34733,4855,
- Nguyen gia,,62051,52858,55873,18482,
- Gia tri hao mon luy ke (*),,(24924),(19538),(21140),(13627),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,746,746,746,746,
- Nguyen gia,,746,746,746,746,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,28869,
- Nguyen gia,,,,,38530,
- Gia tri hao mon luy ke (*),,,,,(9661),
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,1941,60,,,
V. Dau tu tai chinh dai han,,112069,148953,30507,28319,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,106069,144453,25032,4441,
3. Dau tu gop von vao don vi khac,,,,5475,23878,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,6000,4500,,,
VI. Tai san dai han khac,,1287,461,12,3,
1. Chi phi tra truoc dai han,,550,458,9,,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,737,3,3,3,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,229298,256676,462900,515096,
NGUON VON,,,,,,
A. NO PHAI TRA,,106400,58586,22352,30238,
I. No ngan han,,105253,57384,21295,29983,
1. Phai tra nguoi ban ngan han,,14404,9256,7158,9523,
2. Nguoi mua tra tien truoc ngan han,,6259,426,1379,183,
3. Thue va cac khoan phai nop Nha nuoc,,1039,255,4545,212,
4. Phai tra nguoi lao dong,,2167,2632,2240,2754,
5. Chi phi phai tra ngan han,,16064,17756,2678,2662,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,11,11,
9. Phai tra ngan han khac,,33120,7100,2417,2410,
10. Vay va no thue tai chinh ngan han,,31902,19800,762,11828,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,298,159,104,400,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,1147,1202,1057,255,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,11,,,
7. Phai tra dai han khac,,1147,1191,286,255,
8. Vay va no thue tai chinh dai han,,,,771,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,112409,198091,440548,484859,
I. Von chu so huu,,112409,198091,440548,484859,
1. Von gop cua chu so huu,,135555,135555,271109,327352,
- Co phieu pho thong co quyen bieu quyet,,,,271109,327352,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,33778,40420,28680,28615,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,104,104,,,
5. Co phieu quy (*),,(9316),(719),(1),(1),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,2365,2365,8712,8712,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,(56424),14019,132048,120181,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,19625,60544,
- LNST chua phan phoi ky nay,,,,112423,59637,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,6347,6347,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,10489,,,,
TONG CONG NGUON VON,,229298,256676,462900,515096,
