TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,11198630,16428327,16709473,22876206,
I. Tien va cac khoan tuong duong tien,,5698563,5166415,8324476,13148938,
1. Tien,,203577,302970,918656,941318,
2. Cac khoan tuong duong tien,,5494986,4863445,7405820,12207620,
II. Dau tu tai chinh ngan han,,3287000,4042212,293990,1771012,
1. Chung khoan kinh doanh,,3287000,4042212,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,293990,1771012,
III. Cac khoan phai thu ngan han,,975138,5176907,3126527,2277055,
1. Phai thu ngan han cua khach hang,,351434,4346998,878130,1295848,
2. Tra truoc cho nguoi ban ngan han,,360236,341231,872866,283315,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,762400,,
6. Phai thu ngan han khac,,265252,490742,641598,739100,
7. Du phong phai thu ngan han kho doi (*),,(1784),(2064),(28589),(41208),
8. Tai san thieu cho xu ly,,,,122,,
IV. Hang ton kho,,1070334,1604854,4417969,5389531,
1. Hang ton kho,,1091073,1627172,4434592,5416696,
2. Du phong giam gia hang ton kho (*),,(20739),(22318),(16623),(27165),
V. Tai san ngan han khac,,167595,437939,546511,289670,
1. Chi phi tra truoc ngan han,,28718,70227,79536,106482,
2. Thue GTGT duoc khau tru,,100506,295726,445579,171398,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,21343,21396,11790,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,38371,50643,,,
B. TAI SAN DAI HAN,,35303511,36536773,55140227,50162832,
I. Cac khoan phai thu dai han,,450183,1387798,10432139,1817067,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,8563114,369700,
