TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,6584884,8258017,12288285,11359327,
I. Tien va cac khoan tuong duong tien,,596043,573679,996983,825897,
1. Tien,,593223,570836,994084,822758,
2. Cac khoan tuong duong tien,,2820,2843,2899,3139,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,657958,863782,1410488,997318,
1. Phai thu ngan han cua khach hang,,124933,150319,243464,131701,
2. Tra truoc cho nguoi ban ngan han,,183281,174185,315210,81339,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,349743,539278,851814,784277,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,5083297,6501392,9370732,9236858,
1. Hang ton kho,,5179847,6611457,9513658,9399334,
2. Du phong giam gia hang ton kho (*),,(96550),(110065),(142926),(162476),
V. Tai san ngan han khac,,247586,319164,510081,299254,
1. Chi phi tra truoc ngan han,,162269,183813,208179,212818,
2. Thue GTGT duoc khau tru,,81988,135351,301900,86407,
3. Thue va cac khoan khac phai thu cua nha nuoc,,3330,,3,28,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1409730,1918314,2518202,2748054,
I. Cac khoan phai thu dai han,,137722,160053,179685,191799,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,137722,160053,179685,191799,
7. Du phong phai thu dai han kho doi (*),,,,,,
