TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1941521,3213564,4477251,4868876,
I. Tien va cac khoan tuong duong tien,,37829,27357,112066,193599,
1. Tien,,37829,27357,112066,193599,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,756490,939750,1088302,1188083,
1. Phai thu ngan han cua khach hang,,55863,38244,48390,34645,
2. Tra truoc cho nguoi ban ngan han,,187181,143711,548142,613259,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,330720,574895,22886,74955,
6. Phai thu ngan han khac,,183440,183610,469598,465937,
7. Du phong phai thu ngan han kho doi (*),,(714),(710),(714),(714),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1135779,2240213,3262160,3465262,
1. Hang ton kho,,1136770,2240213,3262384,3465262,
2. Du phong giam gia hang ton kho (*),,(990),,(224),,
V. Tai san ngan han khac,,11422,6244,14722,21932,
1. Chi phi tra truoc ngan han,,211,16,195,10,
2. Thue GTGT duoc khau tru,,8552,6228,7830,15226,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2659,,6697,6696,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,2365387,678563,507289,364884,
I. Cac khoan phai thu dai han,,110392,110306,110392,110404,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,110392,110306,110392,110404,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,189570,16337,186749,90303,
1. Tai san co dinh huu hinh,,185241,16337,182488,86287,
- Nguyen gia,,236043,34483,238585,114695,
- Gia tri hao mon luy ke (*),,(50802),(18145),(56097),(28408),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,4329,,4262,4016,
- Nguyen gia,,5648,,5708,4016,
- Gia tri hao mon luy ke (*),,(1319),,(1447),,
III. Bat dong san dau tu,,10590,,10304,64035,
- Nguyen gia,,11334,,11334,67786,
