TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,334079,412882,349920,432841,
I. Tien va cac khoan tuong duong tien,,36598,145995,17044,280114,
1. Tien,,36598,23056,6664,21398,
2. Cac khoan tuong duong tien,,,122939,10380,258716,
II. Dau tu tai chinh ngan han,,220095,178750,275050,80400,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,220095,178750,275050,80400,
III. Cac khoan phai thu ngan han,,70842,80129,53161,66754,
1. Phai thu ngan han cua khach hang,,57801,60746,47236,60089,
2. Tra truoc cho nguoi ban ngan han,,11613,17170,4577,5725,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1429,2212,1349,940,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,4822,4740,3426,3771,
1. Hang ton kho,,4822,4740,3426,3771,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,1721,3269,1239,1802,
1. Chi phi tra truoc ngan han,,1721,3269,1239,1802,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,146886,135623,139461,126756,
I. Cac khoan phai thu dai han,,2576,2576,2576,2241,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,2576,2576,2576,2241,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,84193,77801,97078,90679,
1. Tai san co dinh huu hinh,,82405,76198,95658,88991,
- Nguyen gia,,175174,172130,197906,197906,
- Gia tri hao mon luy ke (*),,(92769),(95932),(102248),(108915),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,1788,1603,1420,1688,
- Nguyen gia,,6750,6750,6750,7218,
- Gia tri hao mon luy ke (*),,(4961),(5147),(5330),(5530),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,8148,8148,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,8148,8148,,,
V. Dau tu tai chinh dai han,,24394,24394,24394,24394,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,24394,24394,24394,24394,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,27574,22704,15413,9442,
1. Chi phi tra truoc dai han,,27566,22704,15413,9442,
2. Tai san thue thu nhap hoan lai,,8,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,480964,548506,489381,559597,
NGUON VON,,,,,,
A. NO PHAI TRA,,67628,72360,52495,56844,
I. No ngan han,,65374,69793,49658,53765,
1. Phai tra nguoi ban ngan han,,11120,13723,6786,15076,
2. Nguoi mua tra tien truoc ngan han,,,,970,4,
3. Thue va cac khoan phai nop Nha nuoc,,17500,17385,2949,17142,
4. Phai tra nguoi lao dong,,22280,26465,31979,12781,
5. Chi phi phai tra ngan han,,4482,3833,901,5297,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,4027,3608,3367,3466,
10. Vay va no thue tai chinh ngan han,,,,,,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,5965,4780,2707,,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,2254,2567,2837,3079,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,2254,2566,2826,3071,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,1,11,8,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,413336,476146,436886,502753,
I. Von chu so huu,,413336,476146,436886,502753,
1. Von gop cua chu so huu,,261669,261669,261669,261669,
- Co phieu pho thong co quyen bieu quyet,,261669,261669,261669,261669,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,38,38,38,38,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,(12),
5. Co phieu quy (*),,(12),(12),(12),,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,151641,214450,175191,241057,
- LNST chua phan phoi luy ke den cuoi ky truoc,,16535,16535,17121,174879,
- LNST chua phan phoi ky nay,,135106,197916,158070,66178,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,480964,548506,489381,559597,
