TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,5270728,5243518,5828216,5987701,
I. Tien va cac khoan tuong duong tien,,848583,701316,931563,960963,
1. Tien,,405772,433620,391805,540005,
2. Cac khoan tuong duong tien,,442810,267697,539758,420958,
II. Dau tu tai chinh ngan han,,48921,169000,38869,9000,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,48921,169000,38869,9000,
III. Cac khoan phai thu ngan han,,727716,871642,1094934,1120135,
1. Phai thu ngan han cua khach hang,,213109,200840,340384,254287,
2. Tra truoc cho nguoi ban ngan han,,373662,472383,556785,635817,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,41780,41780,
6. Phai thu ngan han khac,,144223,203721,160824,193091,
7. Du phong phai thu ngan han kho doi (*),,(3278),(5301),(4839),(4839),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,3585888,3427076,3698433,3821999,
1. Hang ton kho,,3585888,3427076,3700202,3823769,
2. Du phong giam gia hang ton kho (*),,,,(1770),(1770),
V. Tai san ngan han khac,,59620,74484,64418,75604,
1. Chi phi tra truoc ngan han,,6436,6721,7423,11340,
2. Thue GTGT duoc khau tru,,52785,65126,56962,63581,
3. Thue va cac khoan khac phai thu cua nha nuoc,,400,2637,32,682,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,325733,316830,380593,357126,
I. Cac khoan phai thu dai han,,101942,107914,124874,94919,
1. Phai thu dai han cua khach hang,,253,152,152,152,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,101689,107762,124722,94767,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,56621,55828,55173,55285,
1. Tai san co dinh huu hinh,,43450,42878,42095,42972,
- Nguyen gia,,75191,75631,75999,78212,
- Gia tri hao mon luy ke (*),,(31740),(32753),(33904),(35240),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,13171,12950,13078,12314,
- Nguyen gia,,17689,17588,17928,17388,
- Gia tri hao mon luy ke (*),,(4518),(4638),(4849),(5074),
III. Bat dong san dau tu,,50722,32741,39336,37165,
- Nguyen gia,,74075,49787,54223,52388,
- Gia tri hao mon luy ke (*),,(23353),(17046),(14887),(15224),
IV. Tai san do dang dai han,,330,263,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,330,263,,,
V. Dau tu tai chinh dai han,,30008,30248,30520,30520,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,24525,24525,24798,24578,
3. Dau tu gop von vao don vi khac,,5942,5942,5942,5942,
4. Du phong dau tu tai chinh dai han (*),,(460),(220),(220),,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,69757,74741,116852,126657,
1. Chi phi tra truoc dai han,,10305,17066,48238,57731,
2. Tai san thue thu nhap hoan lai,,59452,57675,68614,68926,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,16353,15095,13837,12579,
TONG CONG TAI SAN,,5596461,5560348,6208809,6344828,
NGUON VON,,,,,,
A. NO PHAI TRA,,2851712,2732600,3061536,3087329,
I. No ngan han,,1938548,1908748,2179394,2143456,
1. Phai tra nguoi ban ngan han,,118480,137518,199476,121639,
2. Nguoi mua tra tien truoc ngan han,,844751,628210,651549,884233,
3. Thue va cac khoan phai nop Nha nuoc,,82899,95699,166367,39488,
4. Phai tra nguoi lao dong,,5263,8698,20359,4624,
5. Chi phi phai tra ngan han,,417640,398757,607937,622155,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,125434,223814,169457,163982,
10. Vay va no thue tai chinh ngan han,,330644,409805,353655,300257,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,13438,6246,10594,7078,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,913164,823853,882142,943873,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,34621,26632,14113,8755,
8. Vay va no thue tai chinh dai han,,818557,279622,349613,408081,
9. Trai phieu chuyen doi,,,460656,463083,465458,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,59987,56943,55332,55332,
12. Du phong phai tra dai han,,,,,6247,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,2744749,2827747,3147274,3257498,
I. Von chu so huu,,2744749,2827747,3147274,3257498,
1. Von gop cua chu so huu,,1415722,1421145,1421145,1421145,
- Co phieu pho thong co quyen bieu quyet,,1415722,1421145,1421145,1421145,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,492337,492161,492161,492161,
3. Quyen chon chuyen doi trai phieu,,40503,40503,40503,40503,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(60464),(60464),(60464),(60464),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,10930,10930,10930,10930,
