TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,185581,288254,342006,328480,
I. Tien va cac khoan tuong duong tien,,75570,77016,108089,35856,
1. Tien,,13435,2016,20089,35856,
2. Cac khoan tuong duong tien,,62135,75000,88000,,
II. Dau tu tai chinh ngan han,,45000,71500,82508,130240,
1. Chung khoan kinh doanh,,45000,71500,591,294,
2. Du phong giam gia chung khoan kinh doanh (*),,,,(83),(55),
3. Dau tu nam giu den ngay dao han,,,,82000,130000,
III. Cac khoan phai thu ngan han,,15169,12270,14521,27852,
1. Phai thu ngan han cua khach hang,,13066,10881,11541,19194,
2. Tra truoc cho nguoi ban ngan han,,456,457,169,688,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1648,932,2812,7970,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,46394,122015,136033,133937,
1. Hang ton kho,,46394,122015,136033,133937,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,3448,5453,855,595,
1. Chi phi tra truoc ngan han,,686,388,855,595,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,361,52,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2401,5012,,,
B. TAI SAN DAI HAN,,55404,58763,57901,165964,
I. Cac khoan phai thu dai han,,,,3178,3783,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,3178,3783,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,17207,19615,17504,14766,
1. Tai san co dinh huu hinh,,15946,12657,11289,9335,
- Nguyen gia,,36295,36586,37766,38208,
- Gia tri hao mon luy ke (*),,(20349),(23929),(26478),(28874),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,1261,6959,6215,5431,
- Nguyen gia,,1605,7863,7895,7895,
- Gia tri hao mon luy ke (*),,(344),(905),(1680),(2464),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,,,
V. Dau tu tai chinh dai han,,,,,103000,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,103000,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,38197,39148,37219,44415,
1. Chi phi tra truoc dai han,,32885,30204,26492,39840,
2. Tai san thue thu nhap hoan lai,,3820,6339,10727,4575,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,1492,2605,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,240985,347017,399907,494444,
NGUON VON,,,,,,
A. NO PHAI TRA,,54954,96812,114500,87448,
I. No ngan han,,54592,96607,108451,82258,
1. Phai tra nguoi ban ngan han,,11154,15672,16116,14525,
2. Nguoi mua tra tien truoc ngan han,,1660,2659,3149,2749,
3. Thue va cac khoan phai nop Nha nuoc,,12460,38001,72691,36998,
4. Phai tra nguoi lao dong,,4020,3231,5219,9412,
5. Chi phi phai tra ngan han,,19976,8384,1649,1488,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
