TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,347081,470989,824451,802640,
I. Tien va cac khoan tuong duong tien,,54122,99023,68677,177548,
1. Tien,,24804,78423,61477,156499,
2. Cac khoan tuong duong tien,,29319,20600,7200,21049,
II. Dau tu tai chinh ngan han,,,2387,2440,1178,
1. Chung khoan kinh doanh,,,3944,3944,1178,
2. Du phong giam gia chung khoan kinh doanh (*),,,(1557),(1504),,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,133932,124638,322676,269943,
1. Phai thu ngan han cua khach hang,,129986,113501,280417,196438,
2. Tra truoc cho nguoi ban ngan han,,3339,13307,15443,41690,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,200,200,
6. Phai thu ngan han khac,,3266,1602,31272,36692,
7. Du phong phai thu ngan han kho doi (*),,(2659),(3771),(4701),(5331),
8. Tai san thieu cho xu ly,,,,44,253,
IV. Hang ton kho,,157262,224678,421582,344276,
1. Hang ton kho,,158658,228349,436294,347521,
2. Du phong giam gia hang ton kho (*),,(1396),(3671),(14712),(3245),
V. Tai san ngan han khac,,1765,20263,9076,9694,
1. Chi phi tra truoc ngan han,,1109,1828,5267,6493,
2. Thue GTGT duoc khau tru,,,7,
