TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1233750,1293695,1144582,1090174,
I. Tien va cac khoan tuong duong tien,,124692,87685,54802,50631,
1. Tien,,19922,9755,18238,40946,
2. Cac khoan tuong duong tien,,104770,77929,36564,9685,
II. Dau tu tai chinh ngan han,,477,812,449,754,
1. Chung khoan kinh doanh,,516,905,931,944,
2. Du phong giam gia chung khoan kinh doanh (*),,(38),(93),(482),(690),
3. Dau tu nam giu den ngay dao han,,,,,500,
III. Cac khoan phai thu ngan han,,73702,85402,120754,195140,
1. Phai thu ngan han cua khach hang,,42600,26461,39533,73925,
2. Tra truoc cho nguoi ban ngan han,,21831,43425,27725,26330,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,9271,15516,53496,94886,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,963248,1055517,961358,837805,
1. Hang ton kho,,963248,1055517,961358,837805,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,71631,64280,7219,5843,
1. Chi phi tra truoc ngan han,,19,16,24,21,
2. Thue GTGT duoc khau tru,,6861,115,7196,5823,
3. Thue va cac khoan khac phai thu cua nha nuoc,,3,17,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,64747,64132,,,
B. TAI SAN DAI HAN,,89607,73325,133000,286540,
I. Cac khoan phai thu dai han,,,,21282,,
1. Phai thu dai han cua khach hang,
