TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,,24464172,27267745,31343570,
I. Tien va cac khoan tuong duong tien,,,3317909,3336969,3209346,
1. Tien,,,1046221,808216,322631,
2. Cac khoan tuong duong tien,,,2271687,2528754,2886716,
II. Dau tu tai chinh ngan han,,,6187,964823,1000562,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,6187,964823,1000562,
III. Cac khoan phai thu ngan han,,,6820478,6762178,9884432,
1. Phai thu ngan han cua khach hang,,,473211,333224,783450,
2. Tra truoc cho nguoi ban ngan han,,,1069140,882437,1250130,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,1560709,2143659,3518759,
6. Phai thu ngan han khac,,,3723280,3416521,4337954,
7. Du phong phai thu ngan han kho doi (*),,,(5860),(13662),(5860),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,,13909522,15636282,16764423,
1. Hang ton kho,,,13919125,15641814,16767418,
2. Du phong giam gia hang ton kho (*),,,(9604),(5533),(2995),
V. Tai san ngan han khac,,,410076,567494,484807,
1. Chi phi tra truoc ngan han,,,64287,57965,30209,
2. Thue GTGT duoc khau tru,,,229353,381916,332412,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,116429,127613,122186,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,6,,,
B. TAI SAN DAI HAN,,,8016274,9124846,6318564,
I. Cac khoan phai thu dai han,,,2474310,3941009,815256,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,1118,954,954,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,1170000,1170000,,
6. Phai thu dai han khac,,,1303191,2770055,814302,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,,88380,148768,270612,
1. Tai san co dinh huu hinh,,,60453,120180,240897,
- Nguyen gia,,,96260,162134,358297,
- Gia tri hao mon luy ke (*),,,(35807),(41954),(117400),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,27927,28588,29716,
- Nguyen gia,,,29202,29970,31390,
- Gia tri hao mon luy ke (*),,,(1275),(1382),(1674),
III. Bat dong san dau tu,,,1843268,1940784,1943904,
- Nguyen gia,,,1903152,2016569,2034220,
- Gia tri hao mon luy ke (*),,,(59884),(75786),(90316),
IV. Tai san do dang dai han,,,288997,276997,299514,
1. Chi phi san xuat kinh doanh do dang dai han,,,233704,236603,233820,
2. Chi phi xay dung co ban do dang,,,55293,40394,65695,
V. Dau tu tai chinh dai han,,,642309,350498,241634,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,642309,350498,238519,
3. Dau tu gop von vao don vi khac,,,,,3115,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,,183216,249184,373557,
1. Chi phi tra truoc dai han,,,128260,189524,311557,
2. Tai san thue thu nhap hoan lai,,,54956,59660,62000,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,2495795,2217606,2374086,
TONG CONG TAI SAN,,,32480445,36392591,37662134,
NGUON VON,,,,,,
A. NO PHAI TRA,,,24862362,26349803,26949082,
I. No ngan han,,,12225603,13627959,14624290,
1. Phai tra nguoi ban ngan han,,,1583249,1505529,1202437,
2. Nguoi mua tra tien truoc ngan han,,,5569908,5954806,6469979,
3. Thue va cac khoan phai nop Nha nuoc,,,165582,122970,175011,
4. Phai tra nguoi lao dong,,,91559,139263,46708,
5. Chi phi phai tra ngan han,,,541903,576725,866165,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,1627,2201,1716,
9. Phai tra ngan han khac,,,790145,914498,637697,
10. Vay va no thue tai chinh ngan han,,,3472588,4405270,5212210,
11. Du phong phai tra ngan han,,,2346,,6763,
12. Quy khen thuong phuc loi,,,6696,6696,5604,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,,12636758,12721844,12324792,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
