TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,358314,354299,366691,394448,
I. Tien va cac khoan tuong duong tien,,15737,5866,5571,22709,
1. Tien,,11737,4366,4656,13094,
2. Cac khoan tuong duong tien,,4000,1500,915,9615,
II. Dau tu tai chinh ngan han,,,,103,103,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,103,103,
III. Cac khoan phai thu ngan han,,327643,330515,345036,354643,
1. Phai thu ngan han cua khach hang,,4004,4241,3338,5448,
2. Tra truoc cho nguoi ban ngan han,,9783,7574,3912,5411,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,222527,222860,230080,231680,
6. Phai thu ngan han khac,,91329,95840,107706,112103,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,10687,10049,10384,10552,
1. Hang ton kho,,10687,10049,10384,10552,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,4246,7869,5598,6441,
1. Chi phi tra truoc ngan han,,859,899,2159,2972,
2. Thue GTGT duoc khau tru,,3354,3413,3439,3469,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,33,3557,,,
B. TAI SAN DAI HAN,,966005,962044,951237,942346,
I. Cac khoan phai thu dai han,,7000,7000,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,7000,7000,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,363546,369650,366619,361241,
1. Tai san co dinh huu hinh,,111055,119188,118185,114836,
- Nguyen gia,,201678,213178,214400,215287,
- Gia tri hao mon luy ke (*),,(90623),(93990),(96215),(100451),
2. Tai san co dinh thue tai chinh,,,,248434,,
- Nguyen gia,,,,305427,,
- Gia tri hao mon luy ke (*),,,,(56993),,
3. Tai san co dinh vo hinh,,252491,250462,,246405,
- Nguyen gia,,305427,305427,,305427,
- Gia tri hao mon luy ke (*),,(52936),(54965),,(59022),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,430222,426224,426374,425981,
1. Chi phi san xuat kinh doanh do dang dai han,,62089,62089,62089,62089,
2. Chi phi xay dung co ban do dang,,368132,364135,364285,363891,
V. Dau tu tai chinh dai han,,113439,109916,110783,110783,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,96715,96715,96634,96634,
3. Dau tu gop von vao don vi khac,,23884,20360,23884,23884,
4. Du phong dau tu tai chinh dai han (*),,(7159),(7159),(9735),(9735),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,5697,6527,8106,8360,
