TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,6096048,3903205,3054494,2553229,
I. Tien va cac khoan tuong duong tien,,447650,238780,239450,203704,
1. Tien,,420650,222628,140352,79280,
2. Cac khoan tuong duong tien,,27000,16152,99098,124423,
II. Dau tu tai chinh ngan han,,1478656,1705784,117172,31824,
1. Chung khoan kinh doanh,,1554635,2015229,146518,53999,
2. Du phong giam gia chung khoan kinh doanh (*),,(75979),(309445),(33786),(38325),
3. Dau tu nam giu den ngay dao han,,,,4441,16150,
III. Cac khoan phai thu ngan han,,3541064,1257195,2421125,2001660,
1. Phai thu ngan han cua khach hang,,1366727,234763,213400,172732,
2. Tra truoc cho nguoi ban ngan han,,721713,656286,546255,461732,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,1524394,1519334,
6. Phai thu ngan han khac,,1471751,1556156,2492032,2585190,
7. Du phong phai thu ngan han kho doi (*),,(19127),(1190010),(2359051),(2744652),
8. Tai san thieu cho xu ly,,,,4095,7325,
IV. Hang ton kho,,404034,265946,247583,286459,
1. Hang ton kho,,404034,265946,247583,286459,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,224644,435501,29164,29582,
1. Chi phi tra truoc ngan han,,10900,3456,4297,8485,
2. Thue GTGT duoc khau tru,,16082,13773,15546,9883,
3. Thue va cac khoan khac phai thu cua nha nuoc,,4373,8087,9322,11214,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,193290,410184,,,
B. TAI SAN DAI HAN,,5328416,4981607,3865615,3467768,
I. Cac khoan phai thu dai han,,2258212,2149748,1160966,828919,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,1181460,1175338,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,2258212,2649748,548507,508027,
7. Du phong phai thu dai han kho doi (*),,,(500000),(569000),(854447),
II. Tai san co dinh,,1175304,839709,794559,1397060,
1. Tai san co dinh huu hinh,,995475,
