TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,301792,315305,354164,530206,
I. Tien va cac khoan tuong duong tien,,27816,39833,46404,97535,
1. Tien,,13816,17833,21404,35523,
2. Cac khoan tuong duong tien,,14000,22000,25000,62011,
II. Dau tu tai chinh ngan han,,,,5070,17069,
1. Chung khoan kinh doanh,,,,70,69,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,5000,17000,
III. Cac khoan phai thu ngan han,,78373,63250,86113,133261,
1. Phai thu ngan han cua khach hang,,69745,60330,75521,124657,
2. Tra truoc cho nguoi ban ngan han,,8965,3482,2952,9556,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,8000,8000,
6. Phai thu ngan han khac,,214,380,1287,6039,
7. Du phong phai thu ngan han kho doi (*),,(551),(942),(1648),(14991),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,192481,207011,213057,279944,
1. Hang ton kho,,192481,207011,213057,279975,
2. Du phong giam gia hang ton kho (*),,,,,(31),
V. Tai san ngan han khac,,3122,5211,3520,2397,
1. Chi phi tra truoc ngan han,,560,327,109,681,
2. Thue GTGT duoc khau tru,,2144,3751,3376,1590,
3. Thue va cac khoan khac phai thu cua nha nuoc,,25,91,34,125,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,393,1042,,,
B. TAI SAN DAI HAN,,236680,217740,237487,244541,
I. Cac khoan phai thu dai han,,,,277,486,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,277,486,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,207869,192547,192389,210757,
1. Tai san co dinh huu hinh,,189145,173058,156528,175281,
- Nguyen gia,,310735,318728,327396,438493,
- Gia tri hao mon luy ke (*),,(121590),(145670),(170868),(263213),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,18697,19489,35861,35476,
- Nguyen gia,,19767,21072,37947,38282,
- Gia tri hao mon luy ke (*),,(1070),(1583),(2086),(2805),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,10144,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,27,,,10144,
V. Dau tu tai chinh dai han,,27130,23873,43759,21374,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,6661,6570,33299,6828,
3. Dau tu gop von vao don vi khac,,,,10460,14546,
4. Du phong dau tu tai chinh dai han (*),,(4896),(2987),,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,25365,20290,,,
