TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1164650,1168563,1250695,1268483,
I. Tien va cac khoan tuong duong tien,,275304,85143,107606,89823,
1. Tien,,135304,53143,77606,39823,
2. Cac khoan tuong duong tien,,140000,32000,30000,50000,
II. Dau tu tai chinh ngan han,,220000,376544,466823,478953,
1. Chung khoan kinh doanh,,,,-,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,-,,
3. Dau tu nam giu den ngay dao han,,220000,376544,466823,478953,
III. Cac khoan phai thu ngan han,,180409,161049,93933,130998,
1. Phai thu ngan han cua khach hang,,149620,136452,63589,72651,
2. Tra truoc cho nguoi ban ngan han,,18370,15775,15080,34360,
3. Phai thu noi bo ngan han,,,,-,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,-,,
5. Phai thu ve cho vay ngan han,,,,-,,
6. Phai thu ngan han khac,,15277,11614,17492,24853,
7. Du phong phai thu ngan han kho doi (*),,(2955),(2888),(2319),(958),
8. Tai san thieu cho xu ly,,96,96,92,92,
IV. Hang ton kho,,480212,534334,562437,553937,
1. Hang ton kho,,495528,550018,603547,595047,
2. Du phong giam gia hang ton kho (*),,(15316),(15684),(41110),(41110),
V. Tai san ngan han khac,,8726,11492,19895,14773,
1. Chi phi tra truoc ngan han,,2731,3284,2612,2037,
2. Thue GTGT duoc khau tru,,5995,8208,17283,12736,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,-,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,-,,
5. Tai san ngan han khac,,,,-,,
B. TAI SAN DAI HAN,,391246,388279,433308,424596,
I. Cac khoan phai thu dai han,,,,-,,
1. Phai thu dai han cua khach hang,,,,-,,
2. Tra truoc cho nguoi ban dai han,,,,-,,
3. Von kinh doanh o cac don vi truc thuoc,,,,-,,
4. Phai thu noi bo dai han,,,,-,,
5. Phai thu ve cho vay dai han,,,,-,,
6. Phai thu dai han khac,,,,-,,
7. Du phong phai thu dai han kho doi (*),,,,-,,
II. Tai san co dinh,,293305,283069,303765,292355,
1. Tai san co dinh huu hinh,,263654,253964,275205,264337,
- Nguyen gia,,730556,730546,770303,776457,
- Gia tri hao mon luy ke (*),,(466902),(476582),(495098),(512120),
2. Tai san co dinh thue tai chinh,,,,-,,
- Nguyen gia,,,,-,,
- Gia tri hao mon luy ke (*),,,,-,,
3. Tai san co dinh vo hinh,,29651,29105,28560,28018,
- Nguyen gia,,57568,57568,57568,57568,
- Gia tri hao mon luy ke (*),,(27917),(28462),(29008),(29550),
III. Bat dong san dau tu,,,,-,,
- Nguyen gia,,,,-,,
- Gia tri hao mon luy ke (*),,,,-,,
IV. Tai san do dang dai han,,47790,56746,44699,47788,
1. Chi phi san xuat kinh doanh do dang dai han,,,,-,,
2. Chi phi xay dung co ban do dang,,47790,56746,44699,47788,
V. Dau tu tai chinh dai han,,3600,3600,32500,32500,
1. Dau tu vao cong ty con,,,,-,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,32500,32500,
3. Dau tu gop von vao don vi khac,,3600,3600,-,,
4. Du phong dau tu tai chinh dai han (*),,,,-,,
5. Dau tu nam giu den ngay dao han,,,,-,,
6. Dau tu dai han khac,,,,-,,
VI. Tai san dai han khac,,46552,44864,52344,51953,
1. Chi phi tra truoc dai han,,5492,5374,4889,4498,
2. Tai san thue thu nhap hoan lai,,8487,6918,15771,15771,
3. Thiet bi vat tu phu tung thay the dai han,,32123,32123,31234,31234,
4. Tai san dai han khac,,450,450,450,450,
VII. Loi the thuong mai,,,,-,,
TONG CONG TAI SAN,,1555896,1556842,1684003,1693079,
NGUON VON,,,,,,
A. NO PHAI TRA,,1015837,1017410,1115286,1126782,
I. No ngan han,,1012217,1013190,1081966,1092416,
1. Phai tra nguoi ban ngan han,,101946,84891,86500,143070,
2. Nguoi mua tra tien truoc ngan han,,5362,12807,64669,20424,
3. Thue va cac khoan phai nop Nha nuoc,,7504,7957,15817,6719,
4. Phai tra nguoi lao dong,,106738,136939,168980,109603,
5. Chi phi phai tra ngan han,,157564,145231,55586,75800,
6. Phai tra noi bo ngan han,,,,-,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,-,,
8. Doanh thu chua thuc hien ngan han,,,,-,,
9. Phai tra ngan han khac,,33215,32868,78597,107249,
10. Vay va no thue tai chinh ngan han,,584516,578871,556132,583014,
11. Du phong phai tra ngan han,,7862,9264,41821,36594,
12. Quy khen thuong phuc loi,,7510,4361,13865,9944,
13. Quy binh on gia,,,,-,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,-,,
II. No dai han,,3620,4220,33320,34366,
1. Phai tra nguoi ban dai han,,,,-,,
2. Nguoi mua tra tien truoc dai han,,,,-,,
3. Chi phi phai tra dai han,,,,-,,
4. Phai tra noi bo ve von kinh doanh,,,,-,,
5. Phai tra noi bo dai han,,,,-,,
6. Doanh thu chua thuc hien dai han,,,,-,,
7. Phai tra dai han khac,,3620,4220,33320,820,
8. Vay va no thue tai chinh dai han,,,,-,,
9. Trai phieu chuyen doi,,,,-,,
10. Co phieu uu dai (No),,,,-,,
11. Thue thu nhap hoan lai phai tra,,,,-,,
12. Du phong phai tra dai han,,,,-,33546,
13. Quy phat trien khoa hoc va cong nghe,,,,-,,
14. Du phong tro cap mat viec lam,,,,-,,
B. VON CHU SO HUU,,540059,539432,568717,566298,
I. Von chu so huu,,540059,539432,568717,566298,
1. Von gop cua chu so huu,,464717,464717,464717,464717,
- Co phieu pho thong co quyen bieu quyet,,464717,464717,464717,464717,
- Co phieu uu dai,,,,-,,
2. Thang du von co phan,,1585,1585,1585,1585,
3. Quyen chon chuyen doi trai phieu,,,,-,,
4. Von khac cua chu so huu,,,,-,,
5. Co phieu quy (*),,,,-,,
6. Chenh lech danh gia lai tai san,,,,-,,
7. Chenh lech ty gia hoi doai,,,,-,,
8. Quy dau tu phat trien,,,,12134,12134,
9. Quy ho tro sap xep doanh nghiep,,,,-,,
10. Quy khac thuoc von chu so huu,,,,-,,
11. Loi nhuan sau thue chua phan phoi,,73758,73130,90281,87862,
- LNST chua phan phoi luy ke den cuoi ky truoc,,23710,23710,54692,67045,
- LNST chua phan phoi ky nay,,50047,49420,66570,20817,
12. Nguon von dau tu XDCB,,,,-,,
13. Loi ich co dong khong kiem soat,,,,-,,
14. Quy du phong tai chinh,,,,-,,
II. Nguon kinh phi va quy khac,,,,-,,
1. Nguon kinh phi,,,,-,,
2. Nguon kinh phi da hinh thanh TSCD,,,,-,,
C. LOI ICH CO DONG THIEU SO,,,,-,,
TONG CONG NGUON VON,,1555896,1556842,1684003,1693079,
