TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,920716,1270794,2046187,2015038,
I. Tien va cac khoan tuong duong tien,,171452,343813,729092,557790,
1. Tien,,57932,150535,418392,246130,
2. Cac khoan tuong duong tien,,113520,193278,310700,311660,
II. Dau tu tai chinh ngan han,,482626,201333,4568,443715,
1. Chung khoan kinh doanh,,546816,209151,6961,73446,
2. Du phong giam gia chung khoan kinh doanh (*),,(64189),(7818),(3295),(1041),
3. Dau tu nam giu den ngay dao han,,,,901,371310,
III. Cac khoan phai thu ngan han,,153240,355367,568371,435351,
1. Phai thu ngan han cua khach hang,,91732,205237,482011,324098,
2. Tra truoc cho nguoi ban ngan han,,53303,68065,27611,66660,
3. Phai thu noi bo ngan han,,,,,,
