TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1600684,2186915,2040492,2083931,
I. Tien va cac khoan tuong duong tien,,77494,340981,438544,244545,
1. Tien,,75094,86881,91409,113845,
2. Cac khoan tuong duong tien,,2400,254100,347135,130700,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,591062,1211243,1043219,1096060,
1. Phai thu ngan han cua khach hang,,531523,872772,800136,735481,
2. Tra truoc cho nguoi ban ngan han,,62567,275449,179695,284580,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,2100,1250,,
6. Phai thu ngan han khac,,13103,66371,68970,80273,
7. Du phong phai thu ngan han kho doi (*),,(16131),(5449),(6832),(4274),
