TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,66598,116385,114544,162576,
I. Tien va cac khoan tuong duong tien,,25244,57293,57424,100340,
1. Tien,,8254,9786,15850,84269,
2. Cac khoan tuong duong tien,,16990,47506,41574,16071,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,39914,54602,51086,61807,
1. Phai thu ngan han cua khach hang,,30036,43617,46716,60784,
2. Tra truoc cho nguoi ban ngan han,,6765,9469,4497,3590,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,6048,4937,3533,694,
7. Du phong phai thu ngan han kho doi (*),,(2936),(3420),(3659),(3261),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,101,321,474,137,
1. Hang ton kho,,101,321,474,137,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,1339,4169,5560,292,
1. Chi phi tra truoc ngan han,,627,160,118,292,
2. Thue GTGT duoc khau tru,,,3596,5442,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,13,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,712,399,,,
B. TAI SAN DAI HAN,,306108,377478,529216,569551,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,262014,334284,368420,412578,
1. Tai san co dinh huu hinh,,197755,211439,368051,410708,
- Nguyen gia,,325731,358348,538230,613053,
- Gia tri hao mon luy ke (*),,(127976),(146909),(170179),(202345),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,140,282,369,1869,
- Nguyen gia,,2139,2359,2608,4362,
- Gia tri hao mon luy ke (*),,(1999),(2077),(2239),(2493),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,122967,107412,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,64119,122563,122967,107412,
V. Dau tu tai chinh dai han,,22165,22165,22165,22165,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,15165,15165,15165,15165,
3. Dau tu gop von vao don vi khac,,,,7000,7000,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,7000,7000,,,
VI. Tai san dai han khac,,21929,21028,15664,27396,
1. Chi phi tra truoc dai han,,21929,21028,15664,27396,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,372706,493862,643760,732126,
NGUON VON,,,,,,
A. NO PHAI TRA,,92759,180823,308811,358707,
I. No ngan han,,66530,77246,126287,181286,
1. Phai tra nguoi ban ngan han,,20719,20558,45979,42126,
2. Nguoi mua tra tien truoc ngan han,,21,25,3093,333,
3. Thue va cac khoan phai nop Nha nuoc,,1260,374,1264,1776,
4. Phai tra nguoi lao dong,,10621,10632,7840,12260,
5. Chi phi phai tra ngan han,,60,378,1758,1770,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,1486,1790,
9. Phai tra ngan han khac,,10117,2074,1820,2827,
10. Vay va no thue tai chinh ngan han,,23413,43486,58806,104559,
11. Du phong phai tra ngan han,,,,,7924,
12. Quy khen thuong phuc loi,,320,(281),4241,5921,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,26229,103577,182524,177421,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,3282,2034,,,
7. Phai tra dai han khac,,,,,17881,
8. Vay va no thue tai chinh dai han,,22947,101544,182524,159540,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,279947,313039,334949,373419,
I. Von chu so huu,,279947,313039,334949,373419,
1. Von gop cua chu so huu,,82320,123480,123480,123480,
- Co phieu pho thong co quyen bieu quyet,,,,123480,123480,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,74435,74435,74435,74435,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,73324,60755,103271,128316,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,2313,4017,5823,7752,
11. Loi nhuan sau thue chua phan phoi,,38225,50353,27940,39436,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,2117,2871,
- LNST chua phan phoi ky nay,,,,25823,36565,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,9330,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,372706,493862,643760,732126,
