TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,5362887,5705424,6745183,8100625,
I. Tien va cac khoan tuong duong tien,,7433,7946,31572,149428,
1. Tien,,7433,7946,31572,149428,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,183833,280267,665869,590825,
1. Phai thu ngan han cua khach hang,,97804,157247,432577,412465,
2. Tra truoc cho nguoi ban ngan han,,42030,77262,224811,170687,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,45040,46933,9645,11559,
7. Du phong phai thu ngan han kho doi (*),,(1041),(1174),(1164),(3886),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,5164363,5413250,6034609,7356019,
1. Hang ton kho,,5164363,5413250,6034609,7356019,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,7257,3961,13134,4352,
1. Chi phi tra truoc ngan han,,195,853,5520,2563,
2. Thue GTGT duoc khau tru,,1681,1423,5289,-,
3. Thue va cac khoan khac phai thu cua nha nuoc,,5370,1629,2325,1788,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,11,56,,,
B. TAI SAN DAI HAN,,295080,347563,795652,901725,
I. Cac khoan phai thu dai han,,,,174671,282233,
1. Phai thu dai han cua khach hang,,,,8949,21694,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,165722,260540,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,197053,202167,427,2295,
1. Tai san co dinh huu hinh,,1961,1373,427,2295,
- Nguyen gia,,5962,5962,5312,7517,
- Gia tri hao mon luy ke (*),,(4001),(4589),(4884),(5222),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,117879,117681,,,
- Nguyen gia,,118918,118918,718,718,
- Gia tri hao mon luy ke (*),,(1039),(1237),(718),(718),
III. Bat dong san dau tu,,,,118154,193553,
- Nguyen gia,,,,119060,194724,
- Gia tri hao mon luy ke (*),,,,(905),(1171),
IV. Tai san do dang dai han,,,,137821,61123,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,77213,83113,137821,61123,
V. Dau tu tai chinh dai han,,45000,97000,345762,345550,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,45000,97000,345762,294070,
3. Dau tu gop von vao don vi khac,,,,,51480,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,53027,48395,16786,16971,
1. Chi phi tra truoc dai han,,2666,1075,16786,15741,
2. Tai san thue thu nhap hoan lai,,3040,,,1231,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,47320,47320,,,
VII. Loi the thuong mai,,,,2030,,
TONG CONG TAI SAN,,5657966,6052986,7540835,9002350,
NGUON VON,,,,,,
A. NO PHAI TRA,,4230432,4584692,5270003,6598553,
I. No ngan han,,676216,1126777,1534318,1678062,
1. Phai tra nguoi ban ngan han,,30223,46616,172951,97009,
2. Nguoi mua tra tien truoc ngan han,,308310,96417,348090,616587,
3. Thue va cac khoan phai nop Nha nuoc,,115,4039,24301,52317,
4. Phai tra nguoi lao dong,,1196,1465,1800,2310,
5. Chi phi phai tra ngan han,,98696,212599,359630,445224,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,23032,145281,116880,21575,
10. Vay va no thue tai chinh ngan han,,206278,612681,505607,434359,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,8365,7679,5060,8682,
