Doanh thu thuan ve ban hang va cung cap dich vu,,567343,571832,657353,727222,
Gia von hang ban,,409090,435023,479924,583035,
Loi nhuan gop ve ban hang va cung cap dich vu,,158253,136809,177430,144188,
Doanh thu hoat dong tai chinh,,13365,11261,11190,12728,
Chi phi tai chinh,,11587,10527,11126,11573,
Chi phi ban hang,,79017,88852,94016,79910,
Chi phi quan ly doanh nghiep,,36329,23190,51371,25184,
Loi nhuan thuan tu hoat dong kinh doanh,,44685,25501,32106,40248,
Loi nhuan khac,,203,529,5044,161,
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,,,
