TAI SAN,,,,,,
A. TAI SAN NGAN HAN (100=110+120+130+140+150+190),,2919410,3399733,3523450,3573443,
I. Tien va cac khoan tuong duong tien,,195996,158981,142518,109349,
1. Tien,,195996,154481,112333,104014,
2. Cac khoan tuong duong tien,,-,4500,30185,5335,
II. Dau tu tai chinh ngan han,,1289223,1687502,1793504,1886307,
1. Chung khoan kinh doanh,,1302352,1702098,1810942,1903701,
2. Du phong giam gia chung khoan kinh doanh (*),,(13129),(14596),(17438),(17394),
3. Dau tu nam giu den ngay dao han,,-,-,-,-,
III. Cac khoan phai thu ngan han,,453078,399637,384948,485150,
1. Phai thu ngan han cua khach hang,,441491,384067,394152,490616,
1.1. Phai thu ve hop dong bao hiem,,380516,332644,328688,410132,
1.2. Phai thu khac cua khach hang,,60975,51423,65464,80485,
2. Tra truoc cho nguoi ban ngan han,,1554,3599,2279,2172,
3. Phai thu noi bo ngan han,,-,-,-,-,
4. Phai thu ve cho vay ngan han,,-,-,-,-,
5. Phai thu ngan han khac,,81262,79494,54220,62277,
6. Du phong phai thu ngan han kho doi (*),,(71230),(67522),(65703),(69916),
7. Tai san thieu cho xu ly,,-,-,-,-,
8. Phai thu theo tien do ke hoach hop dong xay dung,,-,-,-,-,
IV. Hang ton kho,,12834,11895,9808,10821,
1. Hang ton kho,,12834,11895,9808,10821,
2. Du phong giam gia hang ton kho,,-,-,-,-,
V. Tai san ngan han khac,,103256,101475,99734,94171,
1. Chi phi tra truoc ngan han,,87417,98753,97267,91803,
1.1. Chi phi hoa hong chua phan bo,,-,83968,82755,79084,
1.2. Chi phi tra truoc ngan han khac,,87417,14786,14511,12719,
2. Thue GTGT con duoc khau tru,,14826,1639,1589,1494,
3. Thue va cac khoan khac phai thu cua nha nuoc,,-,-,-,-,
4. Giao dich mua ban lai trai phieu Chinh phu,,-,-,-,-,
5. Tai san ngan han khac,,1013,1083,878,874,
VIII. Tai san tai bao hiem,,865021,1040243,1092938,987645,
1. Du phong phi nhuong tai bao hiem,,267515,274739,299883,298979,
2. Du phong boi thuong nhuong tai bao hiem,,597507,765504,793055,688666,
B. TAI SAN DAI HAN (200=210+220+240+250+260+270),,1021667,774771,769622,643472,
I. Cac khoan phai thu dai han,,10584,11551,11533,11504,
1. Phai thu dai han cua khach hang,,-,-,-,-,
2. Tra truoc cho nguoi ban dai han,,-,-,-,-,
3. Von kinh doanh o cac don vi truc thuoc,,-,-,-,-,
4. Phai thu dai han noi bo,,-,-,-,-,
5. Phai thu ve cho vay dai han,,-,-,-,-,
6. Phai thu dai han khac,,10584,11551,11533,11504,
6.1 Ky quy bao hiem,,6000,6000,6000,6000,
6.2. Phai thu dai han khac,,4584,5551,5533,5504,
7. Du phong phai thu dai han kho doi,,-,-,-,-,
II. Tai san co dinh,,381388,385325,347493,342733,
1. Tai san co dinh huu hinh,,231271,235030,235731,233006,
- Nguyen gia,,355864,367831,374191,376917,
- Gia tri hao mon luy ke,,(124593),(132801),(138459),(143911),
2. Tai san co dinh thue tai chinh,,-,-,-,-,
- Nguyen gia,,-,-,-,-,
- Gia tri hao mon luy ke,,-,-,-,-,
3. Tai san co dinh vo hinh,,150117,150294,111762,109727,
- Nguyen gia,,166033,169309,133338,133731,
- Gia tri hao mon luy ke,,(15917),(19015),(21576),(24004),
III. Bat dong san dau tu,,53676,50808,86254,85728,
- Nguyen gia,,60087,60087,96058,96058,
- Gia tri hao mon luy ke,,(6410),(9278),(9804),(10330),
IV. Tai san do dang dai han,,31842,22383,18076,21163,
1. Chi phi xay dung co ban do dang,,31842,22383,18076,21163,
V. Dau tu tai chinh dai han,,538400,297782,300560,175985,
1. Dau tu vao cong ty con,,-,-,-,-,
2. Dau tu vao cong ty lien ket lien doanh,,1350,1350,1350,1350,
3. Dau tu gop von vao don vi khac,,-,-,-,-,
4. Du phong dau tu tai chinh dai han,,(20534),(18534),(18534),(18534),
5. Dau tu nam giu den ngay dao han,,-,-,-,-,
6. Dau tu dai han khac,,557584,314966,317744,193169,
VI. Tai san dai han khac,,5777,6922,5707,6360,
1. Chi phi tra truoc dai han,,5777,6922,5707,6360,
2. Tai san thue thu nhap hoan lai,,-,-,-,-,
3. Thiet bi vat tu phu tung thay the dai han,,-,-,-,-,
4. Tai san dai han khac,,-,-,-,-,
VII. Loi the thuong mai,,-,-,-,-,
TONG CONG TAI SAN (270=100+200),,3941077,4174504,4293072,4216915,
NGUON VON,,,,,,
A. NO PHAI TRA (300=210+330),,3067684,3279115,3377742,3341235,
I. No ngan han,,3050897,3266275,3361679,3327954,
1. Vay va no ngan han,,-,-,-,-,
2. Phai tra nguoi ban ngan han,,253146,262732,265362,259921,
2.1. Phai tra ve hop dong bao hiem,,249552,258496,255713,252717,
2.2. Phai tra khac cho nguoi ban,,3594,4236,9649,7204,
3. Nguoi mua tra tien truoc ngan han,,2434,3024,2091,1384,
4. Thue va cac khoan phai nop Nha nuoc,,25563,17795,19429,20844,
5. Phai tra cong nhan vien,,78606,99049,118734,102632,
6. Chi phi phai tra ngan han,,-,-,-,-,
7. Phai tra noi bo ngan han,,-,-,-,-,
8. Phai tra ngan han khac,,48071,36263,34593,81687,
9. Doanh thu hoa hong chua duoc huong,,56842,58376,69500,65886,
10. Du phong phai tra ngan han,,-,-,-,-,
11. Quy khen thuong phuc loi,,35091,34816,31775,29875,
12. Giao dich mua ban lai trai phieu Chinh phu,,-,-,-,-,
13. Du phong nghiep vu,,2551145,2754219,2820195,2765725,
13.1. Du phong phi bao hiem goc va nhan tai bao hiem,,1198703,1248934,1272616,1272484,
13.2. Du phong boi thuong bao hiem goc va nhan tai bao hiem,,1125031,1268674,1299398,1235477,
13.3. Du phong dao dong lon,,227411,236611,248182,257765,
13.4 Du phong toan hoc,,-,-,-,-,
13.5. Du phong chia lai,,-,-,-,-,
13.6. Du phong bao dam can doi,,-,-,-,-,
14. Doanh thu chua thuc hien ngan han,,-,-,-,-,
15. Phai tra theo tien do ke hoach hop dong xay dung,,-,-,-,-,
II. No dai han,,16786,12839,16063,13281,
1. Phai tra nguoi ban dai han,,-,-,-,-,
2. Phai tra noi bo dai han,,-,-,-,-,
3. Phai tra dai han khac,,1973,1973,2053,2053,
4. Vay va no thue tai chinh dai han,,-,-,-,-,
5. Thue thu nhap hoan lai phai tra,,-,-,-,-,
6. Du phong tro cap mat viec lam,,-,-,-,-,
