TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,905089,985609,1243344,1085195,
I. Tien va cac khoan tuong duong tien,,284547,306034,293390,271801,
1. Tien,,16088,7436,16020,60175,
2. Cac khoan tuong duong tien,,268459,298598,277370,211626,
II. Dau tu tai chinh ngan han,,306609,287860,532036,375417,
1. Chung khoan kinh doanh,,7526,7526,7526,7025,
2. Du phong giam gia chung khoan kinh doanh (*),,(4244),(3942),(4559),(4262),
3. Dau tu nam giu den ngay dao han,,303327,284276,529069,372654,
III. Cac khoan phai thu ngan han,,148254,150892,160165,240571,
1. Phai thu ngan han cua khach hang,,58044,64754,63654,82956,
2. Tra truoc cho nguoi ban ngan han,,63340,57772,62399,111656,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,29496,30993,37417,49263,
7. Du phong phai thu ngan han kho doi (*),,(2626),(2626),(3305),(3305),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,126766,204542,226733,
