TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,63691,72290,103474,120206,
I. Tien va cac khoan tuong duong tien,,21309,22210,53830,69362,
1. Tien,,8809,15210,3830,21362,
2. Cac khoan tuong duong tien,,12500,7000,50000,48000,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,27387,30091,30105,31355,
1. Phai thu ngan han cua khach hang,,23932,28406,27868,28204,
2. Tra truoc cho nguoi ban ngan han,,416,914,207,3062,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,3472,1205,2463,522,
7. Du phong phai thu ngan han kho doi (*),,(432),(432),(432),(432),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,14743,15709,18231,16514,
1. Hang ton kho,,14743,15709,18231,16514,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,252,4279,1308,2975,
1. Chi phi tra truoc ngan han,,77,76,75,1109,
2. Thue GTGT duoc khau tru,,22,3472,1204,1830,
3. Thue va cac khoan khac phai thu cua nha nuoc,,18,152,30,35,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,136,580,,,
B. TAI SAN DAI HAN,,170465,213990,185101,158624,
I. Cac khoan phai thu dai han,,,,25,23,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,25,23,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,170096,213652,184539,157348,
1. Tai san co dinh huu hinh,,170096,213540,184539,157348,
- Nguyen gia,,240031,309077,307672,297521,
- Gia tri hao mon luy ke (*),,(69936),(95537),(123133),(140173),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,,201,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,112,,201,
V. Dau tu tai chinh dai han,,328,328,328,328,
1. Dau tu vao cong ty con,,,,,,
