TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,33211487,30517660,33260948,37545913,
I. Tien va cac khoan tuong duong tien,,11247766,10001943,11394065,12106401,
1. Tien,,3878695,3661394,4341770,4161519,
2. Cac khoan tuong duong tien,,7369071,6340549,7052296,7944881,
II. Dau tu tai chinh ngan han,,2005526,2406593,2483114,2680943,
1. Chung khoan kinh doanh,,67550,64269,69516,63874,
2. Du phong giam gia chung khoan kinh doanh (*),,(18330),(17384),(20195),(20124),
3. Dau tu nam giu den ngay dao han,,1956306,2359707,2433793,2637193,
III. Cac khoan phai thu ngan han,,7370047,6444345,6961378,8301007,
1. Phai thu ngan han cua khach hang,,6499928,5270595,6186505,7624070,
2. Tra truoc cho nguoi ban ngan han,,590512,831031,486554,400603,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,709346,765875,709243,702503,
7. Du phong phai thu ngan han kho doi (*),,(430857),(424239),(421844),(426880),
8. Tai san thieu cho xu ly,,1118,1083,918,711,
IV. Hang ton kho,,9671197,9054348,8615108,11598849,
1. Hang ton kho,,9769349,9146410,8631825,11623805,
2. Du phong giam gia hang ton kho (*),,(98152),(92062),(16717),(24956),
V. Tai san ngan han khac,,2916950,2610432,3807282,2858714,
1. Chi phi tra truoc ngan han,,272155,268291,320314,305982,
2. Thue GTGT duoc khau tru,,666250,385696,283570,509215,
3. Thue va cac khoan khac phai thu cua nha nuoc,,1088593,888668,2083513,1033752,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,889951,1067777,1119885,1009764,
B. TAI SAN DAI HAN,,20535057,20520010,20977170,20990466,
I. Cac khoan phai thu dai han,,30408,36140,42545,65177,
1. Phai thu dai han cua khach hang,,38905,28563,36068,49360,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,33152,45332,45391,57268,
7. Du phong phai thu dai han kho doi (*),,(41648),(37755),(38914),(41452),
