TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,3959029,6151053,4234739,4441540,
I. Tien va cac khoan tuong duong tien,,153143,107032,21777,239684,
1. Tien,,68248,107032,21777,239684,
2. Cac khoan tuong duong tien,,84895,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,1652142,2097953,1935948,2434555,
1. Phai thu ngan han cua khach hang,,1521059,2009886,1874120,2319916,
2. Tra truoc cho nguoi ban ngan han,,125256,84194,36384,67031,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,5827,3873,25445,47607,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,2047380,3643113,2175629,1634959,
1. Hang ton kho,,2048051,3646565,2175629,1634959,
2. Du phong giam gia hang ton kho (*),,(672),(3452),,,
V. Tai san ngan han khac,,106365,302955,101385,132342,
1. Chi phi tra truoc ngan han,,21639,20870,10040,18064,
2. Thue GTGT duoc khau tru,,70717,271000,77595,107499,
3. Thue va cac khoan khac phai thu cua nha nuoc,,12942,9953,13750,6779,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1068,1132,,,
B. TAI SAN DAI HAN,,3535214,3218774,2888594,2608426,
I. Cac khoan phai thu dai han,,,,10,10,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,10,10,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,3348338,3090367,2706176,2455110,
1. Tai san co dinh huu hinh,,3234312,2997864,2698961,2449484,
- Nguyen gia,,4847206,4932007,4952905,4964488,
