TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,7297705,7479970,5972618,6184310,
I. Tien va cac khoan tuong duong tien,,1185659,1186894,713869,785549,
1. Tien,,7359,40894,31855,45549,
2. Cac khoan tuong duong tien,,1178300,1146000,682014,740000,
II. Dau tu tai chinh ngan han,,3753052,3445852,2394352,2110000,
1. Chung khoan kinh doanh,,3753052,3445852,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,2394352,2110000,
III. Cac khoan phai thu ngan han,,1413057,2138803,2199611,2727399,
1. Phai thu ngan han cua khach hang,,1410412,2141588,1466792,1680985,
2. Tra truoc cho nguoi ban ngan han,,381,509,5386,2165,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,4137,,,,
5. Phai thu ve cho vay ngan han,,,,735000,1053800,
6. Phai thu ngan han khac,,986,299,415,1449,
7. Du phong phai thu ngan han kho doi (*),,(2860),(3593),(7983),(11001),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,938612,704980,660122,556677,
1. Hang ton kho,,1114519,882798,841309,730232,
2. Du phong giam gia hang ton kho (*),,(175908),(177818),(181186),(173555),
V. Tai san ngan han khac,,7326,3442,4664,4685,
1. Chi phi tra truoc ngan han,,59,1319,763,1562,
2. Thue GTGT duoc khau tru,,,,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,6665,1565,3901,3123,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,602,559,,,
B. TAI SAN DAI HAN,,4598177,3844111,5096657,4403346,
I. Cac khoan phai thu dai han,,,,2350000,1707970,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,2350000,1707970,
6. Phai thu dai han khac,,,,,,
