TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1043727,1057410,1113351,1151926,
I. Tien va cac khoan tuong duong tien,,70495,68666,33770,53778,
1. Tien,,60495,68666,33770,53778,
2. Cac khoan tuong duong tien,,10000,,,-,
II. Dau tu tai chinh ngan han,,30632,43332,43764,43764,
1. Chung khoan kinh doanh,,450,12450,12450,12450,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,-,
3. Dau tu nam giu den ngay dao han,,30182,30882,31314,31314,
III. Cac khoan phai thu ngan han,,412916,352635,451192,485671,
1. Phai thu ngan han cua khach hang,,333440,277754,391162,425725,
2. Tra truoc cho nguoi ban ngan han,,81590,77352,60631,50313,
3. Phai thu noi bo ngan han,,,,,
