TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,239458,275880,512065,508154,
I. Tien va cac khoan tuong duong tien,,12715,47762,20979,50851,
1. Tien,,7334,41264,17035,45077,
2. Cac khoan tuong duong tien,,5381,6498,3943,5774,
II. Dau tu tai chinh ngan han,,937,200,93421,162864,
1. Chung khoan kinh doanh,,1986,1175,38894,184415,
2. Du phong giam gia chung khoan kinh doanh (*),,(1049),(975),(3751),(21690),
3. Dau tu nam giu den ngay dao han,,,,58277,139,
III. Cac khoan phai thu ngan han,,116242,124792,306599,255461,
1. Phai thu ngan han cua khach hang,,121730,131478,222439,205573,
2. Tra truoc cho nguoi ban ngan han,,6888,6817,70564,18323,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,1100,21400,
6. Phai thu ngan han khac,,4941,5983,44566,49053,
7. Du phong phai thu ngan han kho doi (*),,(17317),(19485),(33844),(40575),
8. Tai san thieu cho xu ly,,,,1774,1687,
IV. Hang ton kho,,76627,71465,88579,36131,
1. Hang ton kho,,79542,75974,93088,40640,
2. Du phong giam gia hang ton kho (*),,(2916),(4509),(4509),(4509),
V. Tai san ngan han khac,,32938,31661,2487,2847,
1. Chi phi tra truoc ngan han,,113,16,1108,263,
2. Thue GTGT duoc khau tru,,655,672,900,2584,
3. Thue va cac khoan khac phai thu cua nha nuoc,,834,762,479,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,31335,30211,,,
B. TAI SAN DAI HAN,,92823,49591,106697,104245,
I. Cac khoan phai thu dai han,,,,218,230,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,218,230,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,62562,17891,20141,19652,
1. Tai san co dinh huu hinh,,49765,5208,12293,11891,
- Nguyen gia,,119860,21624,111559,108804,
- Gia tri hao mon luy ke (*),,(70095),(16416),(99265),(96913),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,173,59,7848,7761,
- Nguyen gia,,378,378,8840,8840,
- Gia tri hao mon luy ke (*),,(205),(319),(992),(1079),
III. Bat dong san dau tu,,,,1317,,
- Nguyen gia,,,,1564,,
- Gia tri hao mon luy ke (*),,,,(247),,
IV. Tai san do dang dai han,,,,44718,46430,
1. Chi phi san xuat kinh doanh do dang dai han,,,,32073,33805,
2. Chi phi xay dung co ban do dang,,12624,12624,12646,12624,
V. Dau tu tai chinh dai han,,29822,31388,36118,33161,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,23802,25368,20938,22911,
3. Dau tu gop von vao don vi khac,,,,15180,15180,
4. Du phong dau tu tai chinh dai han (*),,,,,(4930),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,6020,6020,,,
VI. Tai san dai han khac,,439,312,4184,4773,
1. Chi phi tra truoc dai han,,272,145,4184,4773,
2. Tai san thue thu nhap hoan lai,,167,167,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,332281,325472,618763,612399,
NGUON VON,,,,,,
A. NO PHAI TRA,,136899,126762,411585,381265,
I. No ngan han,,134267,124158,408848,228887,
1. Phai tra nguoi ban ngan han,,34385,28425,67680,75262,
2. Nguoi mua tra tien truoc ngan han,,30576,14916,78990,6587,
3. Thue va cac khoan phai nop Nha nuoc,,24019,29191,22358,12156,
4. Phai tra nguoi lao dong,,785,1268,4670,3355,
5. Chi phi phai tra ngan han,,9044,4079,5515,7140,
