TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,655290,692620,960477,807018,
I. Tien va cac khoan tuong duong tien,,13597,14760,23680,23644,
1. Tien,,6197,14760,23680,18644,
2. Cac khoan tuong duong tien,,7400,,,5000,
II. Dau tu tai chinh ngan han,,2000,7800,7000,,
1. Chung khoan kinh doanh,,2000,,7000,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,365170,403400,670710,722848,
1. Phai thu ngan han cua khach hang,,256883,234642,519287,423153,
2. Tra truoc cho nguoi ban ngan han,,18282,28244,24819,30363,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,91322,142451,128541,269333,
7. Du phong phai thu ngan han kho doi (*),,(1316),(1937),(1937),,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,229090,229987,248842,52569,
1. Hang ton kho,,230055,230496,248842,52569,
2. Du phong giam gia hang ton kho (*),,(965),(509),,,
V. Tai san ngan han khac,,45432,36673,10245,7957,
1. Chi phi tra truoc ngan han,,7223,414,301,185,
2. Thue GTGT duoc khau tru,,30738,28814,2677,66,
3. Thue va cac khoan khac phai thu cua nha nuoc,,7472,7446,7268,7705,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1089113,1041204,717037,768349,
I. Cac khoan phai thu dai han,,207429,164297,
