TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,7967393,9452329,8210877,6817359,
I. Tien va cac khoan tuong duong tien,,2597617,3208194,3496469,2782568,
1. Tien,,937663,984705,2042431,2508797,
2. Cac khoan tuong duong tien,,1659954,2223489,1454039,273771,
II. Dau tu tai chinh ngan han,,20000,11937,889865,1678127,
1. Chung khoan kinh doanh,,20000,11937,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,889865,1678127,
III. Cac khoan phai thu ngan han,,4184484,4909187,2755761,1527116,
1. Phai thu ngan han cua khach hang,,3906177,4701355,2631375,1627240,
2. Tra truoc cho nguoi ban ngan han,,146297,116348,70180,9684,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,136994,97676,67152,70010,
7. Du phong phai thu ngan han kho doi (*),,(4984),(6192),(12972),(179924),
8. Tai san thieu cho xu ly,,,,25,107,
IV. Hang ton kho,,1043709,1225805,1003903,794987,
1. Hang ton kho,,1044739,1282403,1135809,944490,
2. Du phong giam gia hang ton kho (*),,(1030),(56598),(131906),(149503),
V. Tai san ngan han khac,,121583,97205,64880,34560,
1. Chi phi tra truoc ngan han,,65615,34004,25970,15773,
2. Thue GTGT duoc khau tru,,33585,38010,36548,14881,
3. Thue va cac khoan khac phai thu cua nha nuoc,,398,,2361,3906,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,21985,25190,,,
B. TAI SAN DAI HAN,,13524940,13852431,16704350,16325348,
I. Cac khoan phai thu dai han,,,,18305,16688,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,18305,16688,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,12482424,13178252,15931915,15575544,
1. Tai san co dinh huu hinh,,12313643,11501571,15735501,15390933,
- Nguyen gia,,16483029,16734068,22510177,22928749,
- Gia tri hao mon luy ke (*),,(4169386),(5232497),(6774676),(7537816),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,151132,200285,196414,184611,
- Nguyen gia,,212779,278212,299935,271096,
- Gia tri hao mon luy ke (*),,(61647),(77927),(103521),(86484),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,52899,57965,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,17648,1476397,52899,57965,
V. Dau tu tai chinh dai han,,957444,633432,617514,623095,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,941665,633432,617514,623095,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,(17650),,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,33429,,,,
VI. Tai san dai han khac,,83564,39732,83181,52056,
1. Chi phi tra truoc dai han,,67573,13800,50913,26462,
2. Tai san thue thu nhap hoan lai,,,7946,32267,25594,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,15992,17986,,,
VII. Loi the thuong mai,,1507,1015,536,,
TONG CONG TAI SAN,,21492333,23304760,24915227,23142707,
NGUON VON,,,,,,
A. NO PHAI TRA,,11624527,11591664,11611533,9667306,
I. No ngan han,,6764871,7144839,4510937,3245912,
1. Phai tra nguoi ban ngan han,,2141149,2871778,1443223,736698,
2. Nguoi mua tra tien truoc ngan han,,108113,25643,17769,1760,
3. Thue va cac khoan phai nop Nha nuoc,,380619,473868,168347,50753,
4. Phai tra nguoi lao dong,,201193,243150,266421,153835,
5. Chi phi phai tra ngan han,,1553908,1822880,543272,373519,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,312658,254269,237600,367872,
10. Vay va no thue tai chinh ngan han,,1829468,1156634,1132812,761883,
11. Du phong phai tra ngan han,,101570,103602,477298,641118,
12. Quy khen thuong phuc loi,,136193,193014,224196,158475,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,4859655,4446824,7100596,6421394,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,1048,,,,
7. Phai tra dai han khac,,523047,480160,478667,478264,
8. Vay va no thue tai chinh dai han,,3783481,3095803,5258236,4679425,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,103,,,,
12. Du phong phai tra dai han,,,,242048,166827,
13. Quy phat trien khoa hoc va cong nghe,,551976,870861,1121645,1096878,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,9838242,11478574,13303694,13475401,
I. Von chu so huu,,9838242,11478574,13303694,13475401,
1. Von gop cua chu so huu,,2755287,3030734,3484663,3832662,
- Co phieu pho thong co quyen bieu quyet,,,,3484663,3832662,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,2446050,2434086,2434086,2434086,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(11964),(365),(20949),(20949),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,683186,785025,1351918,1475035,
8. Quy dau tu phat trien,,735588,971279,1523860,1555178,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,2891865,3873194,4226353,3930049,
