Doanh thu thuan ve ban hang va cung cap dich vu,,1737110,1602141,1917783,1652047,
Gia von hang ban,,1520026,1416913,1714463,1464684,
Loi nhuan gop ve ban hang va cung cap dich vu,,217084,185229,203320,187363,
Doanh thu hoat dong tai chinh,,29031,35559,46963,54352,
Chi phi tai chinh,,28131,31153,54355,39185,
Chi phi ban hang,,1742,1828,3316,1263,
Chi phi quan ly doanh nghiep,,60991,56918,57783,47063,
Loi nhuan thuan tu hoat dong kinh doanh,,159322,130889,134829,154204,
Loi nhuan khac,,16810,10930,4897,2051,
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,7761,7802,6609,
Tong loi nhuan ke toan truoc thue,,176132,149579,147528,162864,
Loi nhuan sau thue thu nhap doanh nghiep,,142832,126571,106268,126568,
Loi nhuan sau thue cua co dong Cong ty me,,109269,108912,112614,106974,
Lai co ban tren co phieu (VND),,427,387,400,380,
,
CAN DOI KE TOAN,Quy 2/2016
CKT/HN,Quy 3/2016
CKT/HN,Quy 4/2016
CKT/HN,Quy 1/2017
CKT/HN,
Tai san ngan han,,3906772,4009286,3726650,
