TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,781749,1165718,927757,1071788,
I. Tien va cac khoan tuong duong tien,,167893,350237,78916,57544,
1. Tien,,167893,275237,18916,4544,
2. Cac khoan tuong duong tien,,,75000,60000,53000,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,288901,476037,647894,481482,
1. Phai thu ngan han cua khach hang,,334481,503190,649688,489621,
2. Tra truoc cho nguoi ban ngan han,,3853,12147,10103,6806,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,7699,8273,34710,33058,
7. Du phong phai thu ngan han kho doi (*),,(57132),(47573),(46608),(48003),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,316403,323213,199181,529447,
1. Hang ton kho,,316403,323213,199181,529447,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,8552,16231,1766,3315,
1. Chi phi tra truoc ngan han,,4949,5346,1766,1583,
2. Thue GTGT duoc khau tru,,,,,208,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,1524,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3603,10885,,,
B. TAI SAN DAI HAN,,289370,310567,315748,167241,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,237010,230524,45765,37158,
1. Tai san co dinh huu hinh,,58568,52974,45765,37158,
- Nguyen gia,,119217,122394,123256,120016,
- Gia tri hao mon luy ke (*),,(60649),(69420),(77491),(82858),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
III. Bat dong san dau tu,,,,4676,,
- Nguyen gia,,,,4837,,
- Gia tri hao mon luy ke (*),,,,(161),,
IV. Tai san do dang dai han,,,,237412,110905,
1. Chi phi san xuat kinh doanh do dang dai han,,,,2529,,
2. Chi phi xay dung co ban do dang,,178442,177550,234883,110905,
V. Dau tu tai chinh dai han,,2542,34447,15150,14958,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,15837,15837,
4. Du phong dau tu tai chinh dai han (*),,(398),(688),(688),(880),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,2940,35134,,,
VI. Tai san dai han khac,,49818,45596,12745,4221,
1. Chi phi tra truoc dai han,,49818,45596,12745,4221,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1071119,1476285,1243505,1239029,
NGUON VON,,,,,,
A. NO PHAI TRA,,746763,1131118,900997,939044,
I. No ngan han,,740242,1092149,888432,758180,
1. Phai tra nguoi ban ngan han,,210063,355666,235958,191496,
2. Nguoi mua tra tien truoc ngan han,,212308,397849,51008,35398,
3. Thue va cac khoan phai nop Nha nuoc,,9772,22827,8151,408,
4. Phai tra nguoi lao dong,,9598,15020,12962,6182,
5. Chi phi phai tra ngan han,,41543,32831,55337,20619,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,276,,
9. Phai tra ngan han khac,,19773,8498,25086,87007,
10. Vay va no thue tai chinh ngan han,,237121,259519,498102,414487,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,64,(60),1552,2584,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,6520,38969,12566,180864,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,106618,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,28829,,,
8. Vay va no thue tai chinh dai han,,,,,68926,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,6520,10140,12566,5320,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,316408,345167,342507,299985,
I. Von chu so huu,,316408,345167,342507,299985,
1. Von gop cua chu so huu,,300000,300000,300000,300000,
- Co phieu pho thong co quyen bieu quyet,,,,300000,300000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,9281,9669,11409,14519,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,6983,34799,31098,(14534),
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,(4474),,
