TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1414318,835754,1029635,1290155,
I. Tien va cac khoan tuong duong tien,,146368,129783,400379,201073,
1. Tien,,118768,102183,76779,6473,
2. Cac khoan tuong duong tien,,27600,27600,323600,194600,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,1036406,489637,467931,806322,
1. Phai thu ngan han cua khach hang,,898008,307399,430430,403241,
2. Tra truoc cho nguoi ban ngan han,,5062,14409,13294,45820,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,135202,171077,13655,345628,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,5748,5819,17264,18062,
7. Du phong phai thu ngan han kho doi (*),,(7614),(9067),(6712),(6429),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,184485,209786,154782,246571,
1. Hang ton kho,,184485,209786,154782,246571,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,47059,6547,6542,36189,
1. Chi phi tra truoc ngan han,,3818,4823,6345,5388,
2. Thue GTGT duoc khau tru,,43241,1724,,24669,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,197,6132,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,915163,891182,885607,863259,
I. Cac khoan phai thu dai han,,6468,6028,5415,2842,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,6468,6028,5415,2842,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,751678,734985,758120,739652,
1. Tai san co dinh huu hinh,,684560,693183,718297,701802,
- Nguyen gia,,956725,993375,1034656,1034242,
- Gia tri hao mon luy ke (*),,(272166),(300192),(316359),(332439),
2. Tai san co dinh thue tai chinh,,52695,27697,26026,24356,
- Nguyen gia,,74517,38094,38094,38094,
- Gia tri hao mon luy ke (*),,(21822),(10397),(12068),(13738),
3. Tai san co dinh vo hinh,,14424,14105,13797,13494,
- Nguyen gia,,27561,27561,27561,27561,
- Gia tri hao mon luy ke (*),,(13137),(13456),(13764),(14067),
III. Bat dong san dau tu,,8130,8051,7971,7891,
- Nguyen gia,,9554,9554,9554,9554,
- Gia tri hao mon luy ke (*),,(1424),(1503),(1583),(1663),
IV. Tai san do dang dai han,,23597,23983,1490,1667,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,23597,23983,1490,1667,
V. Dau tu tai chinh dai han,,1753,1773,1565,1530,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,5050,5050,5050,5050,
4. Du phong dau tu tai chinh dai han (*),,(3297),(3277),(3485),(3520),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,123537,116363,111046,109676,
1. Chi phi tra truoc dai han,,123537,116363,111046,109676,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,2329481,1726935,1915242,2153414,
NGUON VON,,,,,,
A. NO PHAI TRA,,1518233,907935,1091886,1309606,
I. No ngan han,,1295697,683063,915080,1132801,
1. Phai tra nguoi ban ngan han,,260170,164269,177027,266365,
2. Nguoi mua tra tien truoc ngan han,,513018,69571,358398,358370,
3. Thue va cac khoan phai nop Nha nuoc,,18494,3297,13097,4791,
4. Phai tra nguoi lao dong,,129625,88173,84666,66235,
5. Chi phi phai tra ngan han,,63185,73511,48651,147747,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,391,54,35,67,
9. Phai tra ngan han khac,,8100,4573,4390,11686,
10. Vay va no thue tai chinh ngan han,,267486,244786,194248,244725,
11. Du phong phai tra ngan han,,15990,15990,15990,15990,
12. Quy khen thuong phuc loi,,19237,18840,18578,16825,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,222537,224872,176806,176806,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,399,399,399,399,
8. Vay va no thue tai chinh dai han,,198049,200383,152318,152318,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,24089,24089,24089,24089,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,811248,819000,823355,843807,
I. Von chu so huu,,811248,819000,823355,843807,
1. Von gop cua chu so huu,,600000,600000,600000,600000,
- Co phieu pho thong co quyen bieu quyet,,600000,600000,600000,600000,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,13251,13251,13251,13251,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,-,-,-,-,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,84337,84337,84337,84337,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,113660,121412,125767,146219,
- LNST chua phan phoi luy ke den cuoi ky truoc,,38021,38021,38021,126045,
- LNST chua phan phoi ky nay,,75639,83392,87746,20174,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
