TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,552141,210852,192096,343918,
I. Tien va cac khoan tuong duong tien,,37144,30541,57060,42227,
1. Tien,,37144,15100,16009,7256,
2. Cac khoan tuong duong tien,,,15441,41051,34971,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,311889,119746,44957,232749,
1. Phai thu ngan han cua khach hang,,258508,72835,43070,225150,
2. Tra truoc cho nguoi ban ngan han,,38334,33247,978,954,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,
