TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,365297,1011680,1744838,1305349,
I. Tien va cac khoan tuong duong tien,,33108,30498,350116,254451,
1. Tien,,33108,22217,151016,90747,
2. Cac khoan tuong duong tien,,,8281,199100,163704,
II. Dau tu tai chinh ngan han,,,17000,17000,17000,
1. Chung khoan kinh doanh,,,17000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,17000,17000,
III. Cac khoan phai thu ngan han,,220486,668375,1109467,877792,
1. Phai thu ngan han cua khach hang,,127128,629942,216403,227299,
2. Tra truoc cho nguoi ban ngan han,,88774,20019,823727,594891,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
