TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,4686058,5293144,5988994,6719930,
I. Tien va cac khoan tuong duong tien,,115205,106400,17149,102120,
1. Tien,,5205,5356,17149,9120,
2. Cac khoan tuong duong tien,,110000,101044,,93000,
II. Dau tu tai chinh ngan han,,,,16580,17230,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,16580,17230,
III. Cac khoan phai thu ngan han,,486562,1055570,505434,570056,
1. Phai thu ngan han cua khach hang,,104576,198020,158472,121192,
2. Tra truoc cho nguoi ban ngan han,,100739,648730,134804,150157,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,5000,,
6. Phai thu ngan han khac,,311563,243323,241660,311262,
7. Du phong phai thu ngan han kho doi (*),,(30316),(34503),(34503),(12554),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,4073536,4120109,5442162,6019925,
1. Hang ton kho,,4073536,4179291,5500589,6052526,
2. Du phong giam gia hang ton kho (*),,,(59183),(58427),(32601),
V. Tai san ngan han khac,,10756,11064,7670,10599,
1. Chi phi tra truoc ngan han,,99,41,,206,
2. Thue GTGT duoc khau tru,,8736,8943,6719,8001,
3. Thue va cac khoan khac phai thu cua nha nuoc,,80,,951,2392,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1842,2081,,,
B. TAI SAN DAI HAN,,1674692,1592142,1990390,1496675,
I. Cac khoan phai thu dai han,,,,236922,243506,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,236922,243506,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1097468,1383015,298928,289939,
1. Tai san co dinh huu hinh,,275717,262111,251293,242299,
- Nguyen gia,,315397,315577,316708,319933,
- Gia tri hao mon luy ke (*),,(39680),(53466),(65415),(77634),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,47569,47569,47634,47640,
- Nguyen gia,,47626,47626,47694,47724,
- Gia tri hao mon luy ke (*),,(57),(57),(60),(83),
III. Bat dong san dau tu,,,,,21930,
- Nguyen gia,,,,,27412,
- Gia tri hao mon luy ke (*),,,,,(5482),
IV. Tai san do dang dai han,,,,1213470,490411,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,774182,1073335,1213470,490411,
V. Dau tu tai chinh dai han,,571808,208816,240777,338024,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,345994,128654,240777,338024,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,225814,80162,,,
VI. Tai san dai han khac,,5417,311,293,112864,
1. Chi phi tra truoc dai han,,162,311,293,112864,
2. Tai san thue thu nhap hoan lai,,5255,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
