TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,479903,467810,496123,528304,
I. Tien va cac khoan tuong duong tien,,16016,7856,54609,31079,
1. Tien,,16016,7856,54609,31079,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,235714,228562,234315,279159,
1. Phai thu ngan han cua khach hang,,218562,198057,193675,221476,
2. Tra truoc cho nguoi ban ngan han,,16643,18551,38020,55301,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,1462,12908,3872,3634,
7. Du phong phai thu ngan han kho doi (*),,(954),(954),(1252),(1252),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,220244,225587,196618,205087,
1. Hang ton kho,,221487,226831,199095,207564,
2. Du phong giam gia hang ton kho (*),,(1243),(1243),(2477),(2477),
V. Tai san ngan han khac,,7930,5805,10580,12979,
1. Chi phi tra truoc ngan han,,1430,840,5315,4730,
2. Thue GTGT duoc khau tru,,6143,4242,4979,7506,
3. Thue va cac khoan khac phai thu cua nha nuoc,,357,723,286,743,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,495221,503585,553009,563149,
I. Cac khoan phai thu dai han,,229,1212,1247,1247,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,229,1212,1247,1247,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,436886,435982,435743,458822,
1. Tai san co dinh huu hinh,,278427,277644,256202,280950,
- Nguyen gia,,567964,577266,556407,589004,
- Gia tri hao mon luy ke (*),,(289538),(299622),(300205),(308053),
2. Tai san co dinh thue tai chinh,,,,17572,16022,
