TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,3514162,4470885,5732032,4958910,
I. Tien va cac khoan tuong duong tien,,11863,8980,242066,321820,
1. Tien,,11863,8980,192066,321820,
2. Cac khoan tuong duong tien,,,,50000,,
II. Dau tu tai chinh ngan han,,1169962,1902797,2465592,1546583,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,1169962,1902797,2465592,1546583,
III. Cac khoan phai thu ngan han,,934060,1113645,2121054,2367152,
1. Phai thu ngan han cua khach hang,,139275,197238,677587,745827,
2. Tra truoc cho nguoi ban ngan han,,663295,789374,1322469,1457661,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,131533,127032,120998,163664,
7. Du phong phai thu ngan han kho doi (*),,(43),,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1227096,1272068,830690,685190,
1. Hang ton kho,,1227096,1272068,830690,685190,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,171180,173396,72630,38165,
1. Chi phi tra truoc ngan han,,7979,8255,7822,12159,
2. Thue GTGT duoc khau tru,,163199,165141,64713,25908,
3. Thue va cac khoan khac phai thu cua nha nuoc,,2,,95,97,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,4458720,3498426,2460855,2468046,
I. Cac khoan phai thu dai han,,198659,103370,20699,19669,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,198659,103370,20699,19669,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1086233,148074,161329,115814,
1. Tai san co dinh huu hinh,,1085906,147756,161329,115814,
- Nguyen gia,,1097871,165125,186787,140214,
- Gia tri hao mon luy ke (*),,(11965),(17369),(25458),(24399),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,327,318,,,
- Nguyen gia,,364,364,,,
- Gia tri hao mon luy ke (*),,(36),(45),,,
III. Bat dong san dau tu,,51488,990958,991488,996979,
- Nguyen gia,,53081,993081,993081,998571,
- Gia tri hao mon luy ke (*),,(1592),(2123),(1592),(1592),
IV. Tai san do dang dai han,,69592,184559,506975,567357,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,69592,184559,506975,567357,
V. Dau tu tai chinh dai han,,3038713,2059010,196000,197523,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,434000,196000,197523,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,3038713,1625010,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,6834,5480,18170,18591,
1. Chi phi tra truoc dai han,,6834,5480,18170,18591,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,7200,6975,566194,552112,
TONG CONG TAI SAN,,7972882,7969311,8192887,7426957,
NGUON VON,,,,,,
A. NO PHAI TRA,,3348308,3265917,3264219,2406660,
I. No ngan han,,3347498,3265152,3133466,2277426,
1. Phai tra nguoi ban ngan han,,1053185,698768,591638,584873,
2. Nguoi mua tra tien truoc ngan han,,1791653,2181863,1627187,498483,
3. Thue va cac khoan phai nop Nha nuoc,,97496,109366,155320,184061,
4. Phai tra nguoi lao dong,,10252,14217,40956,17358,
5. Chi phi phai tra ngan han,,264890,112218,512389,550960,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,30348,43757,201763,366065,
10. Vay va no thue tai chinh ngan han,,95098,100975,1483,73042,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,4575,3988,2730,2583,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,810,765,130753,129234,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,3690,2580,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,810,765,127063,126654,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,4624574,4703395,4928668,5020296,
I. Von chu so huu,,4624574,4703395,4928668,5020296,
1. Von gop cua chu so huu,,4300000,4300000,4300000,4300000,
- Co phieu pho thong co quyen bieu quyet,,4300000,,4300000,4300000,
- Co phieu uu dai,,,4300000,,,
2. Thang du von co phan,,(30),(70),(70),(70),
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,314503,393300,580962,671386,
- LNST chua phan phoi luy ke den cuoi ky truoc,,161236,161236,165763,580465,
- LNST chua phan phoi ky nay,,153267,232065,415198,90922,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,10101,10164,47777,48980,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
