TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,94952,100624,110110,152327,
I. Tien va cac khoan tuong duong tien,,5025,48055,19945,76954,
1. Tien,,5025,3946,4945,7548,
2. Cac khoan tuong duong tien,,,44109,15000,69406,
II. Dau tu tai chinh ngan han,,,,56214,19212,
1. Chung khoan kinh doanh,,,,-,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,-,,
3. Dau tu nam giu den ngay dao han,,,,56214,19212,
III. Cac khoan phai thu ngan han,,74181,39294,32355,53778,
1. Phai thu ngan han cua khach hang,,,37299,29975,52532,
2. Tra truoc cho nguoi ban ngan han,,,1889,30,229,
3. Phai thu noi bo ngan han,,,,-,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,-,,
5. Phai thu ve cho vay ngan han,,,,-,,
6. Phai thu ngan han khac,,74181,106,2350,1017,
7. Du phong phai thu ngan han kho doi (*),,,,-,,
8. Tai san thieu cho xu ly,,,,-,,
IV. Hang ton kho,,12876,11581,1173,1951,
1. Hang ton kho,,12876,11581,1173,1951,
2. Du phong giam gia hang ton kho (*),,,,-,,
V. Tai san ngan han khac,,2870,1693,422,431,
1. Chi phi tra truoc ngan han,,,537,-,431,
2. Thue GTGT duoc khau tru,,,114,-,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,422,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,-,,
5. Tai san ngan han khac,,2870,1043,-,,
B. TAI SAN DAI HAN,,1268127,1217803,1176350,1127374,
I. Cac khoan phai thu dai han,,,,-,,
1. Phai thu dai han cua khach hang,,,,-,,
2. Tra truoc cho nguoi ban dai han,,,,-,,
3. Von kinh doanh o cac don vi truc thuoc,,,,-,,
4. Phai thu noi bo dai han,,,,-,,
5. Phai thu ve cho vay dai han,,,,-,,
6. Phai thu dai han khac,,,,-,,
7. Du phong phai thu dai han kho doi (*),,,,-,,
II. Tai san co dinh,,1266781,1217803,1169067,1120173,
1. Tai san co dinh huu hinh,,1263381,1214403,1165667,1116773,
- Nguyen gia,,1263381,1378431,1378656,1378656,
- Gia tri hao mon luy ke (*),,,(164028),(212989),(261883),
2. Tai san co dinh thue tai chinh,,,,-,,
- Nguyen gia,,,,-,,
- Gia tri hao mon luy ke (*),,,,-,,
3. Tai san co dinh vo hinh,,3400,3400,3400,3400,
- Nguyen gia,,3400,3400,3400,3400,
- Gia tri hao mon luy ke (*),,,,-,,
III. Bat dong san dau tu,,,,-,,
- Nguyen gia,,,,-,,
- Gia tri hao mon luy ke (*),,,,-,,
IV. Tai san do dang dai han,,,,-,,
1. Chi phi san xuat kinh doanh do dang dai han,,,,-,,
2. Chi phi xay dung co ban do dang,,,,-,,
V. Dau tu tai chinh dai han,,,,-,,
1. Dau tu vao cong ty con,,,,-,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,-,,
3. Dau tu gop von vao don vi khac,,,,-,,
4. Du phong dau tu tai chinh dai han (*),,,,-,,
5. Dau tu nam giu den ngay dao han,,,,-,,
6. Dau tu dai han khac,,,,-,,
VI. Tai san dai han khac,,1346,,7283,7202,
1. Chi phi tra truoc dai han,,,,-,,
2. Tai san thue thu nhap hoan lai,,,,-,,
3. Thiet bi vat tu phu tung thay the dai han,,,,7283,7202,
4. Tai san dai han khac,,1346,,-,,
VII. Loi the thuong mai,,,,-,,
TONG CONG TAI SAN,,1363079,1318426,1286460,1279701,
NGUON VON,,,,,,
A. NO PHAI TRA,,951423,891746,829873,817409,
I. No ngan han,,94324,68940,73476,123777,
1. Phai tra nguoi ban ngan han,,,1083,416,367,
2. Nguoi mua tra tien truoc ngan han,,,,-,,
3. Thue va cac khoan phai nop Nha nuoc,,,5016,3604,7110,
4. Phai tra nguoi lao dong,,,,-,568,
5. Chi phi phai tra ngan han,,,,1193,1079,
6. Phai tra noi bo ngan han,,,,-,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,-,,
8. Doanh thu chua thuc hien ngan han,,,,-,,
9. Phai tra ngan han khac,,,2250,738,42852,
10. Vay va no thue tai chinh ngan han,,94324,57728,65022,70184,
11. Du phong phai tra ngan han,,,,-,,
12. Quy khen thuong phuc loi,,,2863,2502,1617,
13. Quy binh on gia,,,,-,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,-,,
II. No dai han,,857100,822806,756397,693632,
1. Phai tra nguoi ban dai han,,,,-,,
