TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,13790724,13893792,10768939,10421900,
I. Tien va cac khoan tuong duong tien,,9392267,6813756,3554806,4080556,
1. Tien,,1074726,1058193,1238154,1443279,
2. Cac khoan tuong duong tien,,8317541,5755563,2316652,2637276,
II. Dau tu tai chinh ngan han,,1403767,3292767,3064407,2565521,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,1403767,3292767,3064407,2565521,
III. Cac khoan phai thu ngan han,,1123820,1530092,1213748,885464,
1. Phai thu ngan han cua khach hang,,508149,640109,562893,274078,
2. Tra truoc cho nguoi ban ngan han,,154436,208136,195630,206777,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,491300,706054,480538,434277,
7. Du phong phai thu ngan han kho doi (*),,(50280),(44380),(45485),(49846),
8. Tai san thieu cho xu ly,,20215,20173,20173,20178,
IV. Hang ton kho,,1749330,2120507,2116162,2205439,
1. Hang ton kho,,1792901,2164078,2174326,2251044,
2. Du phong giam gia hang ton kho (*),,(43571),(43571),(58164),(45605),
V. Tai san ngan han khac,,121541,136670,819816,684921,
1. Chi phi tra truoc ngan han,,80148,69216,87637,73965,
2. Thue GTGT duoc khau tru,,29546,55269,134278,111447,
3. Thue va cac khoan khac phai thu cua nha nuoc,,11847,12185,597901,499509,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,8997174,8809591,8491157,8331949,
I. Cac khoan phai thu dai han,,41137,35037,54147,36559,
1. Phai thu dai han cua khach hang,,4000,,6398,5215,
2. Tra truoc cho nguoi ban dai han,,,,6187,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,4000,4000,4000,
6. Phai thu dai han khac,,49137,43037,49561,44816,
7. Du phong phai thu dai han kho doi (*),,(12000),(12000),(12000),(17472),
II. Tai san co dinh,,5600773,5479511,5460048,5329395,
1. Tai san co dinh huu hinh,,4616780,4498435,4475491,4348158,
- Nguyen gia,,9077449,9037454,9161439,9186344,
- Gia tri hao mon luy ke (*),,(4460669),(4539019),(4685948),(4838186),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,983994,981076,984557,981237,
- Nguyen gia,,1092760,1092013,1098567,1098567,
- Gia tri hao mon luy ke (*),,(108766),(110937),(114010),(117330),
III. Bat dong san dau tu,,67703,67072,66481,65726,
- Nguyen gia,,94694,94694,94694,94694,
- Gia tri hao mon luy ke (*),,(26992),(27623),(28213),(28968),
IV. Tai san do dang dai han,,90788,99624,76773,100472,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,90788,99624,76773,100472,
V. Dau tu tai chinh dai han,,2155592,1818512,1968198,1932412,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,1840367,1503287,1671750,1612605,
3. Dau tu gop von vao don vi khac,,747465,747465,738825,746448,
4. Du phong dau tu tai chinh dai han (*),,(453108),(453108),(463246),(447509),
5. Dau tu nam giu den ngay dao han,,20869,20869,20869,20869,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,1041181,1309835,865510,867385,
1. Chi phi tra truoc dai han,,541089,543513,720752,756448,
2. Tai san thue thu nhap hoan lai,,469368,761746,132185,93029,
3. Thiet bi vat tu phu tung thay the dai han,,30723,4576,12573,17908,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,22787898,22703384,19260096,18753849,
NGUON VON,,,,,,
A. NO PHAI TRA,,8438616,8300466,6895091,5153773,
I. No ngan han,,7885128,7733455,6607238,5010258,
1. Phai tra nguoi ban ngan han,,1351932,1211511,1898795,1252389,
2. Nguoi mua tra tien truoc ngan han,,289972,348901,504449,352198,
3. Thue va cac khoan phai nop Nha nuoc,,1006389,901833,632854,689209,
4. Phai tra nguoi lao dong,,112899,291992,237666,178889,
5. Chi phi phai tra ngan han,,300666,259696,388587,356127,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,600,1100,800,500,
9. Phai tra ngan han khac,,2774451,1184928,1569545,1070440,
10. Vay va no thue tai chinh ngan han,,926299,964222,1051042,920773,
11. Du phong phai tra ngan han,,992214,2423479,580,,
12. Quy khen thuong phuc loi,,129706,145792,322920,189734,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,553488,567011,287853,143515,
1. Phai tra nguoi ban dai han,,,,656,,
2. Nguoi mua tra tien truoc dai han,,,,22,22,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,800,,,,
7. Phai tra dai han khac,,73168,51844,56210,53765,
8. Vay va no thue tai chinh dai han,,407547,443761,159509,21024,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,17135,17135,17185,13865,
12. Du phong phai tra dai han,,568,,,568,
13. Quy phat trien khoa hoc va cong nghe,,54271,54271,54271,54271,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,14349282,14402918,12365004,13600076,
I. Von chu so huu,,14349244,14402881,12364967,13600039,
1. Von gop cua chu so huu,,6412812,6412812,6412812,6412812,
- Co phieu pho thong co quyen bieu quyet,,6412812,6412812,6412812,6412812,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,3209,3209,3209,3209,
5. Co phieu quy (*),,(25550),(25550),(23450),(20160),
6. Chenh lech danh gia lai tai san,,,,,,
