TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1275100,1397712,1794542,1526955,
I. Tien va cac khoan tuong duong tien,,352310,116819,91323,93030,
1. Tien,,32710,26040,54234,93030,
2. Cac khoan tuong duong tien,,319600,90779,37089,,
II. Dau tu tai chinh ngan han,,2175,,9482,210526,
1. Chung khoan kinh doanh,,3059,,11064,217650,
2. Du phong giam gia chung khoan kinh doanh (*),,(884),,(2232),(7124),
3. Dau tu nam giu den ngay dao han,,,,650,,
III. Cac khoan phai thu ngan han,,341315,543134,745559,555279,
1. Phai thu ngan han cua khach hang,,236782,434922,693244,413905,
2. Tra truoc cho nguoi ban ngan han,,92530,102110,37816,20941,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,6500,
6. Phai thu ngan han khac,,12003,6102,14499,113273,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,660,
IV. Hang ton kho,,565435,712414,891682,623531,
1. Hang ton kho,,570367,719813,898087,624739,
2. Du phong giam gia hang ton kho (*),,(4932),(7399),(6405),(1209),
V. Tai san ngan han khac,,13864,25345,56496,44591,
1. Chi phi tra truoc ngan han,,852,976,2412,3926,
2. Thue GTGT duoc khau tru,,9409,20177,51061,39122,
3. Thue va cac khoan khac phai thu cua nha nuoc,,1461,2434,3024,1543,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2143,1758,,,
B. TAI SAN DAI HAN,,1707933,1833713,1758369,2137601,
I. Cac khoan phai thu dai han,,,,156318,150720,
1. Phai thu dai han cua khach hang,,,,46213,40615,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,110105,110105,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1123143,1258290,659625,908992,
1. Tai san co dinh huu hinh,,224990,241468,600701,869674,
- Nguyen gia,,539990,587184,982994,1310245,
- Gia tri hao mon luy ke (*),,(315000),(345717),(382294),(440571),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,62046,60472,58924,39318,
- Nguyen gia,,69496,69570,69603,48379,
- Gia tri hao mon luy ke (*),,(7450),(9098),(10679),(9061),
III. Bat dong san dau tu,,155541,152678,150705,147512,
- Nguyen gia,,160085,160694,162364,162364,
- Gia tri hao mon luy ke (*),,(4544),(8017),(11660),(14852),
IV. Tai san do dang dai han,,,,486596,135509,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,836106,956351,486596,135509,
V. Dau tu tai chinh dai han,,305586,299122,293563,760450,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,271374,268473,274885,743950,
3. Dau tu gop von vao don vi khac,,,,33779,16500,
4. Du phong dau tu tai chinh dai han (*),,(43287),(25540),(15102),,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,77499,56188,,,
VI. Tai san dai han khac,,123663,123624,11564,34418,
1. Chi phi tra truoc dai han,,13663,13624,11109,34418,
2. Tai san thue thu nhap hoan lai,,,,455,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,110000,110000,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,2983033,3231425,3552912,3664557,
NGUON VON,,,,,,
A. NO PHAI TRA,,484692,755706,1090313,1197951,
I. No ngan han,,401449,672209,1048630,1163047,
1. Phai tra nguoi ban ngan han,,143980,136003,158406,129494,
2. Nguoi mua tra tien truoc ngan han,,24392,18358,7035,14619,
3. Thue va cac khoan phai nop Nha nuoc,,6024,15871,12605,5750,
4. Phai tra nguoi lao dong,,14836,11721,14095,14265,
5. Chi phi phai tra ngan han,,2122,864,615,8697,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,681,1730,
9. Phai tra ngan han khac,,9455,10962,29446,40214,
10. Vay va no thue tai chinh ngan han,,202359,466567,823432,942578,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,(1720),11863,2314,5700,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,83243,83497,41683,34904,
1. Phai tra nguoi ban dai han,,,,18090,,
2. Nguoi mua tra tien truoc dai han,,,,,2791,
3. Chi phi phai tra dai han,,,,893,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,1148,,2722,
7. Phai tra dai han khac,,3720,4152,3177,4967,
8. Vay va no thue tai chinh dai han,,79523,78197,19523,16630,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,7793,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,2455510,2433418,2462598,2466605,
I. Von chu so huu,,2455510,2433418,2462598,2466605,
1. Von gop cua chu so huu,,1307984,1307984,1802353,1802353,
- Co phieu pho thong co quyen bieu quyet,,,,1802353,1802353,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,901532,901532,406943,406943,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,104311,104382,155550,157224,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,90639,68347,55661,58672,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,641,33790,
- LNST chua phan phoi ky nay,,,,55020,24881,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,42090,41413,
14. Quy du phong tai chinh,,51043,51172,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,42830,42301,,,
TONG CONG NGUON VON,,2983033,3231425,3552912,3664557,
