TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,59333,93875,86410,98532,
I. Tien va cac khoan tuong duong tien,,5664,18556,14820,17767,
1. Tien,,5664,18556,14820,17767,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,48613,68761,64070,73419,
1. Phai thu ngan han cua khach hang,,27657,46475,47603,51687,
2. Tra truoc cho nguoi ban ngan han,,9787,6776,3679,3174,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,11169,15509,12789,18558,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,2656,1994,2078,2839,
1. Hang ton kho,,2656,1994,2078,2839,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,2399,4564,5442,4508,
1. Chi phi tra truoc ngan han,,900,3710,4847,3216,
2. Thue GTGT duoc khau tru,,1328,854,595,861,
3. Thue va cac khoan khac phai thu cua nha nuoc,,171,,,431,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1345255,1335140,1316146,1299604,
I. Cac khoan phai thu dai han,,2004,2004,2004,2004,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,2004,2004,2004,2004,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,1323923,1315091,1295414,1279552,
1. Tai san co dinh huu hinh,,1318731,1309904,1290233,1274375,
- Nguyen gia,,1600036,1600036,1600088,1600088,
- Gia tri hao mon luy ke (*),,(281305),(290132),(309855),(325712),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,5192,5187,5182,5177,
- Nguyen gia,,5478,5478,5478,5478,
- Gia tri hao mon luy ke (*),,(287),(292),(297),(302),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,6231,5691,5691,5691,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,6231,5691,5691,5691,
V. Dau tu tai chinh dai han,,,,,12357,
1. Dau tu vao cong ty con,,,,,12357,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,13097,12354,13037,,
1. Chi phi tra truoc dai han,,13097,12354,13037,,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,1404588,1429015,1402556,1398137,
NGUON VON,,,,,,
A. NO PHAI TRA,,780115,739104,713972,673453,
I. No ngan han,,149311,122450,130068,100619,
1. Phai tra nguoi ban ngan han,,5589,5494,6230,1906,
2. Nguoi mua tra tien truoc ngan han,,4882,4717,2224,1354,
3. Thue va cac khoan phai nop Nha nuoc,,4903,11602,18771,12582,
4. Phai tra nguoi lao dong,,,,1170,2504,
5. Chi phi phai tra ngan han,,4059,4245,7041,6950,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,53005,4685,25392,6203,
10. Vay va no thue tai chinh ngan han,,74709,89670,67720,67720,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,2163,2036,1520,1401,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,630804,616654,583904,572834,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,630804,616654,583904,572834,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,624474,689911,688584,724683,
I. Von chu so huu,,624474,689911,688584,724683,
1. Von gop cua chu so huu,,604883,604883,604883,604883,
- Co phieu pho thong co quyen bieu quyet,,604883,604883,604883,604883,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,(95),(95),(95),(95),
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,7261,7261,7261,7261,
5. Co phieu quy (*),,(1589),(1589),(1589),(1589),
6. Chenh lech danh gia lai tai san,,,,,,
