TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,260051,230373,225311,242516,
I. Tien va cac khoan tuong duong tien,,57397,12222,20744,58778,
1. Tien,,27397,12222,20744,38778,
2. Cac khoan tuong duong tien,,30000,,,20000,
II. Dau tu tai chinh ngan han,,151000,105000,130000,92000,
1. Chung khoan kinh doanh,,151000,105000,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,130000,92000,
III. Cac khoan phai thu ngan han,,10299,85019,59736,76643,
1. Phai thu ngan han cua khach hang,,8133,83821,52954,74635,
2. Tra truoc cho nguoi ban ngan han,,184,181,127,362,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,3413,3011,6765,1755,
7. Du phong phai thu ngan han kho doi (*),,(1432),(1994),(110),(110),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,
