TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,5581560,5707348,6316745,6636412,
I. Tien va cac khoan tuong duong tien,,361527,221431,450833,195661,
1. Tien,,72993,33820,354486,152607,
2. Cac khoan tuong duong tien,,288534,187611,96347,43054,
II. Dau tu tai chinh ngan han,,44272,44909,80437,112953,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,44272,44909,80437,112953,
III. Cac khoan phai thu ngan han,,1728332,1830325,2155200,2606259,
1. Phai thu ngan han cua khach hang,,294342,359703,633722,961757,
2. Tra truoc cho nguoi ban ngan han,,479897,422853,627840,659555,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,762837,833054,772636,794789,
6. Phai thu ngan han khac,,277608,301067,207353,276510,
7. Du phong phai thu ngan han kho doi (*),,(86352),(86352),(86352),(86352),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,3417431,3574498,3606250,3692049,
1. Hang ton kho,,3417431,3574498,3606250,3692049,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,29999,36184,24025,29489,
1. Chi phi tra truoc ngan han,,805,864,1136,1060,
2. Thue GTGT duoc khau tru,,15937,21695,1000,5347,
3. Thue va cac khoan khac phai thu cua nha nuoc,,13257,13626,21889,23082,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,1078379,1091357,1181657,1421761,
I. Cac khoan phai thu dai han,,224034,251032,255200,640336,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,84,,30000,416000,
6. Phai thu dai han khac,,223950,251032,225200,224336,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,8889,9453,127947,127596,
1. Tai san co dinh huu hinh,,5393,6119,6002,5686,
- Nguyen gia,,29840,18417,18622,18622,
- Gia tri hao mon luy ke (*),,(24447),(12298),(12620),(12936),
2. Tai san co dinh thue tai chinh,,939,899,859,818,
- Nguyen gia,,1288,1288,1288,1288,
- Gia tri hao mon luy ke (*),,(349),(389),(429),(470),
3. Tai san co dinh vo hinh,,2556,2435,121086,121092,
- Nguyen gia,,6462,6438,125892,126021,
- Gia tri hao mon luy ke (*),,(3905),(4002),(4805),(4929),
III. Bat dong san dau tu,,115403,110471,95128,94510,
- Nguyen gia,,128261,124012,107476,107476,
- Gia tri hao mon luy ke (*),,(12858),(13541),(12348),(12966),
IV. Tai san do dang dai han,,,,8971,11214,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,,,8971,11214,
V. Dau tu tai chinh dai han,,648437,640730,655612,488532,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,161483,169271,205463,191383,
3. Dau tu gop von vao don vi khac,,486954,471460,450149,297149,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,71554,72109,36493,57266,
1. Chi phi tra truoc dai han,,2672,3672,4636,5450,
2. Tai san thue thu nhap hoan lai,,9719,,15704,15704,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,59164,68438,16154,36112,
VII. Loi the thuong mai,,10062,7561,2307,2307,
TONG CONG TAI SAN,,6659939,6798705,7498402,8058173,
NGUON VON,,,,,,
A. NO PHAI TRA,,3524353,3539897,4236008,4815261,
I. No ngan han,,3089809,2893128,3533300,3908009,
1. Phai tra nguoi ban ngan han,,86941,81768,99327,110902,
2. Nguoi mua tra tien truoc ngan han,,1545324,1818980,2328233,2628836,
