TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,322977,312698,371927,387459,
I. Tien va cac khoan tuong duong tien,,208742,269064,347042,355564,
1. Tien,,9642,19064,8042,13564,
2. Cac khoan tuong duong tien,,199100,250000,339000,342000,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,16942,10438,10191,12944,
1. Phai thu ngan han cua khach hang,,15768,9356,7035,8708,
2. Tra truoc cho nguoi ban ngan han,,1257,744,2314,2535,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,850,1428,1479,2084,
7. Du phong phai thu ngan han kho doi (*),,(932),(1091),(637),(383),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,91709,31979,14682,18929,
1. Hang ton kho,,91709,31979,14682,18929,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,5584,1217,12,23,
1. Chi phi tra truoc ngan han,,222,,12,23,
2. Thue GTGT duoc khau tru,,5260,1212,,,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,102,5,,,
B. TAI SAN DAI HAN,,123102,129590,127320,131868,
I. Cac khoan phai thu dai han,,,,,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,61609,46188,50020,52584,
1. Tai san co dinh huu hinh,,53194,35286,47093,49293,
- Nguyen gia,,72104,56404,69528,76503,
- Gia tri hao mon luy ke (*),,(18910),(21118),(22436),(27210),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,5128,4643,2927,3290,
- Nguyen gia,,6157,5836,3819,4347,
- Gia tri hao mon luy ke (*),,(1030),(1193),(892),(1057),
III. Bat dong san dau tu,,52151,74652,67779,68687,
- Nguyen gia,,53598,77561,71283,73196,
- Gia tri hao mon luy ke (*),,(1448),(2909),(3503),(4509),
IV. Tai san do dang dai han,,,,1432,949,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,3288,6259,1432,949,
V. Dau tu tai chinh dai han,,6546,6546,6546,6546,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,10296,10296,
4. Du phong dau tu tai chinh dai han (*),,(3750),(3750),(3750),(3750),
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,10296,10296,,,
VI. Tai san dai han khac,,2796,2204,1543,3103,
1. Chi phi tra truoc dai han,,2748,1749,1445,3103,
2. Tai san thue thu nhap hoan lai,,47,455,98,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,446079,442288,499247,519328,
NGUON VON,,,,,,
A. NO PHAI TRA,,270338,258018,294950,307436,
I. No ngan han,,265147,251509,289253,299029,
1. Phai tra nguoi ban ngan han,,8170,52319,17487,25496,
2. Nguoi mua tra tien truoc ngan han,,140,30727,30365,36381,
3. Thue va cac khoan phai nop Nha nuoc,,7677,9080,30677,28932,
4. Phai tra nguoi lao dong,,7602,8521,8429,8889,
5. Chi phi phai tra ngan han,,334,377,423,339,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,1551,1668,3644,3209,
10. Vay va no thue tai chinh ngan han,,238794,147244,200093,194204,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,878,1573,(1864),1577,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,5191,6509,5698,8407,
1. Phai tra nguoi ban dai han,,,5434,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,5191,,5698,5698,
8. Vay va no thue tai chinh dai han,,,,,,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,1075,,2709,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,175740,184271,204297,211892,
I. Von chu so huu,,175740,184271,204297,211892,
1. Von gop cua chu so huu,,112915,112915,112915,112915,
- Co phieu pho thong co quyen bieu quyet,,,,112915,112915,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,9220,9220,9220,9220,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(1415),(1415),(1415),(1415),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,30923,30923,40930,40930,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,16934,23259,42646,50241,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,14732,20886,
- LNST chua phan phoi ky nay,,,,27915,29356,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,7163,9368,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,446079,442288,499247,519328,
