TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1450124,1024568,1152614,971416,
I. Tien va cac khoan tuong duong tien,,354654,88252,44262,108334,
1. Tien,,354654,88252,44262,88334,
2. Cac khoan tuong duong tien,,,,,20000,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,313106,271847,297744,459461,
1. Phai thu ngan han cua khach hang,,295131,285980,291817,442971,
2. Tra truoc cho nguoi ban ngan han,,14738,7869,24414,36832,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,25674,2082,5177,2342,
7. Du phong phai thu ngan han kho doi (*),,(22437),(24085),(23664),(22685),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,770825,633796,762766,391041,
1. Hang ton kho,,770825,633796,762766,391041,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,11538,30674,47842,12581,
1. Chi phi tra truoc ngan han,,4268,3753,11552,5712,
2. Thue GTGT duoc khau tru,,4815,24566,30403,5685,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,5888,1184,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,2456,2355,,,
B. TAI SAN DAI HAN,,578396,553951,198933,195151,
I. Cac khoan phai thu dai han,,,,75,75,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,75,75,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,537410,519572,159206,150386,
1. Tai san co dinh huu hinh,,81567,72585,57390,50961,
- Nguyen gia,,364078,388585,399878,412902,
- Gia tri hao mon luy ke (*),,(282511),(316000),(342488),(361941),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,448691,446101,101816,99425,
- Nguyen gia,,456017,456017,113604,113624,
- Gia tri hao mon luy ke (*),,(7326),(9916),(11788),(14199),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,8221,719,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,7152,885,8221,719,
V. Dau tu tai chinh dai han,,28583,28583,28583,28583,
1. Dau tu vao cong ty con,
