TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,284795,374045,298678,372891,
I. Tien va cac khoan tuong duong tien,,152342,234093,144741,190741,
1. Tien,,77935,123044,86175,153776,
2. Cac khoan tuong duong tien,,74408,111049,58566,36965,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,125418,132318,145242,174619,
1. Phai thu ngan han cua khach hang,,34165,56015,77824,100033,
2. Tra truoc cho nguoi ban ngan han,,130,376,1463,1853,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,91123,75927,65954,72733,
7. Du phong phai thu ngan han kho doi (*),,,,,,
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,352,258,424,237,
1. Hang ton kho,,352,258,424,237,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6682,7376,8272,7294,
1. Chi phi tra truoc ngan han,,1530,1033,172,347,
2. Thue GTGT duoc khau tru,,573,468,8078,6947,
3. Thue va cac khoan khac phai thu cua nha nuoc,,809,191,22,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,3771,5684,,,
B. TAI SAN DAI HAN,,233029,165339,181819,163862,
I. Cac khoan phai thu dai han,,,,1458,684,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1458,684,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,
