TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,279891,282092,337900,446702,
I. Tien va cac khoan tuong duong tien,,42178,24810,26716,71669,
1. Tien,,42178,24810,26716,71669,
2. Cac khoan tuong duong tien,,,,,,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,140419,153782,196136,216123,
1. Phai thu ngan han cua khach hang,,122051,135053,178496,190763,
2. Tra truoc cho nguoi ban ngan han,,12084,5264,4379,11337,
3. Phai thu noi bo ngan han,,,105,73,(15),
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,6700,14200,14200,14200,
6. Phai thu ngan han khac,,1896,1603,1405,2263,
7. Du phong phai thu ngan han kho doi (*),,(2313),(2444),(2416),(2426),
8. Tai san thieu cho xu ly,,,1,,,
IV. Hang ton kho,,94617,101543,113052,153208,
1. Hang ton kho,,94617,101543,113052,153208,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,2677,1957,1997,5702,
1. Chi phi tra truoc ngan han,,952,720,937,1592,
2. Thue GTGT duoc khau tru,,1725,1061,1060,3259,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,176,,851,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,170089,166694,165796,164234,
I. Cac khoan phai thu dai han,,707,707,707,717,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,707,707,707,717,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,135338,131790,130179,127262,
1. Tai san co dinh huu hinh,,75924,73856,72968,70774,
- Nguyen gia,,100494,100599,101859,101829,
- Gia tri hao mon luy ke (*),,(24569),(26743),(28891),(31055),
2. Tai san co dinh thue tai chinh,,13058,11888,11474,11061,
- Nguyen gia,,15748,14743,14743,14743,
- Gia tri hao mon luy ke (*),,(2689),(2856),(3269),(3683),
3. Tai san co dinh vo hinh,,46355,46046,45736,45427,
- Nguyen gia,,51132,51132,51132,51132,
- Gia tri hao mon luy ke (*),,(4778),(5087),(5396),(5705),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,31125,31428,31432,32684,
1. Chi phi san xuat kinh doanh do dang dai han,,,31428,,,
2. Chi phi xay dung co ban do dang,,31125,,31432,32684,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,2919,2769,3478,3572,
1. Chi phi tra truoc dai han,,2888,2743,3449,3519,
2. Tai san thue thu nhap hoan lai,,31,26,29,52,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,,,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,449980,448786,503696,610936,
NGUON VON,,,,,,
A. NO PHAI TRA,,204903,194481,237597,338070,
I. No ngan han,,174599,168526,164292,264384,
1. Phai tra nguoi ban ngan han,,48506,38268,49083,97295,
2. Nguoi mua tra tien truoc ngan han,,2746,1406,1645,958,
3. Thue va cac khoan phai nop Nha nuoc,,1344,1093,1463,1906,
4. Phai tra nguoi lao dong,,2717,3264,4189,3128,
5. Chi phi phai tra ngan han,,2323,1788,3004,2805,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,1,1,1,1,
9. Phai tra ngan han khac,,476,958,181,110,
10. Vay va no thue tai chinh ngan han,,115885,121148,104126,157581,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,600,600,600,600,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,30304,25955,73304,73686,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,253,243,226,253,
8. Vay va no thue tai chinh dai han,,30051,25712,23078,23396,
9. Trai phieu chuyen doi,,,,50000,50037,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,245077,254304,266099,272866,
I. Von chu so huu,,245077,254304,266099,272866,
1. Von gop cua chu so huu,,180000,180000,201600,201600,
- Co phieu pho thong co quyen bieu quyet,,180000,180000,201600,201600,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,(227),
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,3593,3593,3593,3593,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,61484,70712,60907,67900,
- LNST chua phan phoi luy ke den cuoi ky truoc,,40381,40434,18834,59696,
- LNST chua phan phoi ky nay,,21103,30278,42072,8204,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,449980,448786,503696,610936,
