TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,1305033,1533380,1547258,2051987,
I. Tien va cac khoan tuong duong tien,,33322,51097,69423,54661,
1. Tien,,32372,51097,67423,50006,
2. Cac khoan tuong duong tien,,950,,2000,4655,
II. Dau tu tai chinh ngan han,,,950,,4000,
1. Chung khoan kinh doanh,,,,,4000,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,950,,,
III. Cac khoan phai thu ngan han,,536622,700617,643462,972839,
1. Phai thu ngan han cua khach hang,,341502,387069,470882,584214,
2. Tra truoc cho nguoi ban ngan han,,37501,114117,58284,159086,
3. Phai thu noi bo ngan han,,,46,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,81905,142400,111549,109112,
6. Phai thu ngan han khac,,81000,62511,8584,132634,
7. Du phong phai thu ngan han kho doi (*),,(5559),(5740),(6207),(12590),
8. Tai san thieu cho xu ly,,274,214,369,383,
IV. Hang ton kho,,689554,732021,773394,948759,
1. Hang ton kho,,689554,732021,775755,950863,
2. Du phong giam gia hang ton kho (*),,,,(2361),(2105),
V. Tai san ngan han khac,,45535,48695,60979,71728,
1. Chi phi tra truoc ngan han,,8405,9330,12246,13402,
2. Thue GTGT duoc khau tru,,37067,39176,44282,56547,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,,,1,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,63,190,4451,1777,
B. TAI SAN DAI HAN,,609645,493188,636969,668526,
I. Cac khoan phai thu dai han,,7166,12514,11670,
