TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,252950,421548,303961,198632,
I. Tien va cac khoan tuong duong tien,,23466,107432,157842,48233,
1. Tien,,20966,104932,155342,45733,
2. Cac khoan tuong duong tien,,2500,2500,2500,2500,
II. Dau tu tai chinh ngan han,,3821,3821,3821,3821,
1. Chung khoan kinh doanh,,3821,3821,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,3821,3821,
III. Cac khoan phai thu ngan han,,217500,296404,118998,127301,
1. Phai thu ngan han cua khach hang,,34650,69589,103985,123311,
2. Tra truoc cho nguoi ban ngan han,,182496,226508,6114,1264,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,353,307,9207,3034,
7. Du phong phai thu ngan han kho doi (*),,,,(307),(307),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,1204,1632,3352,13642,
1. Hang ton kho,,1204,1632,3352,13642,
2. Du phong giam gia hang ton kho (*),,,,,,
V. Tai san ngan han khac,,6959,12259,19946,5634,
1. Chi phi tra truoc ngan han,,511,333,360,145,
2. Thue GTGT duoc khau tru,,4916,11310,19586,5489,
3. Thue va cac khoan khac phai thu cua nha nuoc,,113,,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1419,616,,,
B. TAI SAN DAI HAN,,2673605,2784105,2609021,2447067,
I. Cac khoan phai thu dai han,,,,444,,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,444,,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,2672454,2781629,2606386,2445710,
1. Tai san co dinh huu hinh,,599597,2768750,2603646,2442696,
- Nguyen gia,,774902,3096634,3109389,3128257,
- Gia tri hao mon luy ke (*),,(175305),(327883),(505743),(685561),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,2720,2750,2740,3014,
- Nguyen gia,,2720,2750,2750,3039,
- Gia tri hao mon luy ke (*),,,,(10),(25),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,636,18,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,2070137,10129,636,18,
V. Dau tu tai chinh dai han,,,,,,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,,,,
3. Dau tu gop von vao don vi khac,,,,,,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,1151,2476,1556,1339,
1. Chi phi tra truoc dai han,,767,2031,1556,1339,
2. Tai san thue thu nhap hoan lai,,,,,,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,384,444,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,2926555,3205653,2912982,2645699,
NGUON VON,,,,,,
A. NO PHAI TRA,,1845752,1983875,1676013,1468421,
I. No ngan han,,591505,640220,316186,268750,
1. Phai tra nguoi ban ngan han,,106033,75240,32958,18981,
2. Nguoi mua tra tien truoc ngan han,,,,,,
3. Thue va cac khoan phai nop Nha nuoc,,5193,10820,9783,13383,
4. Phai tra nguoi lao dong,,7447,4743,7573,5047,
5. Chi phi phai tra ngan han,,9735,143058,69547,57236,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,207579,247083,11197,12650,
10. Vay va no thue tai chinh ngan han,,254295,158672,184156,160156,
11. Du phong phai tra ngan han,,,,,,
12. Quy khen thuong phuc loi,,1223,603,970,1297,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,1254247,1343655,1359827,1199671,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,,,,,
7. Phai tra dai han khac,,,,,,
8. Vay va no thue tai chinh dai han,,1254247,1343655,1359827,1199671,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,,,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,1080803,1221778,1236970,1177278,
I. Von chu so huu,,1080803,1221778,1236970,1177278,
1. Von gop cua chu so huu,,937102,937102,937102,937102,
- Co phieu pho thong co quyen bieu quyet,,,,937102,937102,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,,,,,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,,,,,
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,143701,284676,299868,240176,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,135306,142120,
- LNST chua phan phoi ky nay,,,,164561,98056,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,,,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,,,,,
TONG CONG NGUON VON,,2926555,3205653,2912982,2645699,
