TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,530595,509441,892834,871161,
I. Tien va cac khoan tuong duong tien,,193523,140578,331763,399297,
1. Tien,,100919,112778,306502,397497,
2. Cac khoan tuong duong tien,,92604,27800,25261,1800,
II. Dau tu tai chinh ngan han,,,,,,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,,,,,
III. Cac khoan phai thu ngan han,,296749,312328,406616,281396,
1. Phai thu ngan han cua khach hang,,22813,37325,79858,109096,
2. Tra truoc cho nguoi ban ngan han,,741,2736,57493,133420,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,4000,
