Doanh thu thuan ve ban hang va cung cap dich vu,,89303,128137,108679,65961,
Gia von hang ban,,33298,53446,46347,29032,
Loi nhuan gop ve ban hang va cung cap dich vu,,56005,74691,62331,36929,
Doanh thu hoat dong tai chinh,,2828,603,1171,880,
Chi phi tai chinh,,3252,4473,7470,3518,
Chi phi ban hang,,,,,,
Chi phi quan ly doanh nghiep,,7331,28743,8516,6609,
Loi nhuan thuan tu hoat dong kinh doanh,,48249,42078,47516,27682,
Loi nhuan khac,,(31),9,536,,
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,,,,
Tong loi nhuan ke toan truoc thue,,48218,42087,48052,27682,
Loi nhuan sau thue thu nhap doanh nghiep,,44804,38347,44670,24581,
Loi nhuan sau thue cua co dong Cong ty me,,45085,39683,44608,24787,
Lai co ban tren co phieu (VND),,980,863,970,539,
,
CAN DOI KE TOAN,Quy 2/2016
CKT/HN,Quy 3/2016
CKT/HN,Quy 4/2016
CKT/HN,Quy 1/2017
CKT/HN,
Tai san ngan han,
