TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,4856366,4868895,3671511,3846534,
I. Tien va cac khoan tuong duong tien,,94261,143378,105380,222183,
1. Tien,,91261,143378,102380,47180,
2. Cac khoan tuong duong tien,,3000,,3000,175002,
II. Dau tu tai chinh ngan han,,,,98779,17885,
1. Chung khoan kinh doanh,,67071,67071,119893,25317,
2. Du phong giam gia chung khoan kinh doanh (*),,(67071),(67071),(21113),(16487),
3. Dau tu nam giu den ngay dao han,,,,,9055,
III. Cac khoan phai thu ngan han,,302717,277413,737156,923449,
1. Phai thu ngan han cua khach hang,,321169,327501,754901,762714,
2. Tra truoc cho nguoi ban ngan han,,76451,77232,46885,205647,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,10716,10185,74268,87519,
7. Du phong phai thu ngan han kho doi (*),,(105619),(137505),(138897),(132430),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,4377080,4364150,2709232,2659753,
1. Hang ton kho,,4523976,4586084,2756499,2708252,
2. Du phong giam gia hang ton kho (*),,(146896),(221934),(47268),(48498),
V. Tai san ngan han khac,,82308,83954,20964,23264,
1. Chi phi tra truoc ngan han,,17624,17113,18737,21399,
2. Thue GTGT duoc khau tru,,8744,8329,2007,1653,
3. Thue va cac khoan khac phai thu cua nha nuoc,,,402,220,212,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,55939,58110,,,
B. TAI SAN DAI HAN,,750870,550932,2062849,2122577,
I. Cac khoan phai thu dai han,,,,34972,101979,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,34971,34908,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,-,67071,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,244174,118055,62920,54734,
1. Tai san co dinh huu hinh,,71432,62052,55130,53832,
- Nguyen gia,,102197,101505,103797,109251,
- Gia tri hao mon luy ke (*),,(30765),(39453),(48667),(55419),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
