TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,347908,409348,381709,414502,
I. Tien va cac khoan tuong duong tien,,18274,8264,8654,8150,
1. Tien,,9274,4264,6654,6150,
2. Cac khoan tuong duong tien,,9000,4000,2000,2000,
II. Dau tu tai chinh ngan han,,280900,337100,328100,351100,
1. Chung khoan kinh doanh,,,,,,
2. Du phong giam gia chung khoan kinh doanh (*),,,,,,
3. Dau tu nam giu den ngay dao han,,280900,337100,328100,351100,
III. Cac khoan phai thu ngan han,,36624,51484,27349,41658,
1. Phai thu ngan han cua khach hang,,1432,334,580,
