TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,3100970,3373737,4106279,4064346,
I. Tien va cac khoan tuong duong tien,,131027,231281,265900,259192,
1. Tien,,115682,215442,156854,170146,
2. Cac khoan tuong duong tien,,15345,15839,109046,89046,
II. Dau tu tai chinh ngan han,,892953,937314,778945,728187,
1. Chung khoan kinh doanh,,7914,7675,7148,3916,
2. Du phong giam gia chung khoan kinh doanh (*),,(4261),(4261),(4302),(2148),
3. Dau tu nam giu den ngay dao han,,889300,933900,776100,726419,
III. Cac khoan phai thu ngan han,,1074184,1162645,1475729,1442860,
1. Phai thu ngan han cua khach hang,,956642,1011728,1234652,1275479,
2. Tra truoc cho nguoi ban ngan han,,91835,126829,217956,149317,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,250,,,,
6. Phai thu ngan han khac,,28498,32979,28376,23419,
7. Du phong phai thu ngan han kho doi (*),,(3040),(8891),(5255),(5355),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,899823,939809,1437003,1483499,
1. Hang ton kho,,936681,953654,1443345,1489840,
2. Du phong giam gia hang ton kho (*),,(36857),(13845),(6342),(6342),
V. Tai san ngan han khac,,102982,102689,148702,150610,
1. Chi phi tra truoc ngan han,,2790,3038,1070,4112,
2. Thue GTGT duoc khau tru,,44311,45116,100956,115769,
3. Thue va cac khoan khac phai thu cua nha nuoc,,55881,54536,46676,30729,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,,,,,
B. TAI SAN DAI HAN,,700606,685807,698629,760984,
I. Cac khoan phai thu dai han,,16209,10193,5013,4973,
1. Phai thu dai han cua khach hang,,101613,102767,100881,99533,
2. Tra truoc cho nguoi ban dai han,,475,475,475,475,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,5115,5115,5178,5158,
7. Du phong phai thu dai han kho doi (*),,(90994),(98164),(101521),(100193),
II. Tai san co dinh,,474181,486333,476474,479143,
1. Tai san co dinh huu hinh,,407300,417135,409360,414108,
- Nguyen gia,,637767,659828,664452,682758,
- Gia tri hao mon luy ke (*),,(230467),(242692),(255092),(268651),
2. Tai san co dinh thue tai chinh,,27361,29820,27878,25936,
- Nguyen gia,,56344,56344,56344,56344,
- Gia tri hao mon luy ke (*),,(28983),(26524),(28466),(30408),
3. Tai san co dinh vo hinh,,39519,39377,39236,39099,
- Nguyen gia,,41439,41439,41439,41439,
- Gia tri hao mon luy ke (*),,(1920),(2062),(2203),(2340),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
