TAI SAN,,,,,,
A. TAI SAN NGAN HAN,,613208,746164,903434,1079494,
I. Tien va cac khoan tuong duong tien,,246711,214212,167726,107605,
1. Tien,,34711,27123,50426,29460,
2. Cac khoan tuong duong tien,,212000,187090,117300,78145,
II. Dau tu tai chinh ngan han,,6157,15489,186973,230500,
1. Chung khoan kinh doanh,,7931,16657,1007,,
2. Du phong giam gia chung khoan kinh doanh (*),,(1774),(1168),(34),,
3. Dau tu nam giu den ngay dao han,,,,186000,230500,
III. Cac khoan phai thu ngan han,,179496,304103,377197,542980,
1. Phai thu ngan han cua khach hang,,183849,311113,350415,524512,
2. Tra truoc cho nguoi ban ngan han,,18442,16656,16641,11673,
3. Phai thu noi bo ngan han,,,,,,
4. Phai thu theo tien do ke hoach hop dong xay dung,,,,,,
5. Phai thu ve cho vay ngan han,,,,,,
6. Phai thu ngan han khac,,3868,4991,13064,20325,
7. Du phong phai thu ngan han kho doi (*),,(26663),(28658),(2924),(13529),
8. Tai san thieu cho xu ly,,,,,,
IV. Hang ton kho,,174783,188947,165044,185564,
1. Hang ton kho,,176285,192032,167910,189676,
2. Du phong giam gia hang ton kho (*),,(1502),(3085),(2867),(4112),
V. Tai san ngan han khac,,6060,23414,6494,12844,
1. Chi phi tra truoc ngan han,,1540,703,1436,1980,
2. Thue GTGT duoc khau tru,,3073,5909,5059,10864,
3. Thue va cac khoan khac phai thu cua nha nuoc,,73,264,,,
4. Giao dich mua ban lai trai phieu chinh phu,,,,,,
5. Tai san ngan han khac,,1375,16538,,,
B. TAI SAN DAI HAN,,115899,180612,197228,255653,
I. Cac khoan phai thu dai han,,,,1360,1375,
1. Phai thu dai han cua khach hang,,,,,,
2. Tra truoc cho nguoi ban dai han,,,,,,
3. Von kinh doanh o cac don vi truc thuoc,,,,,,
4. Phai thu noi bo dai han,,,,,,
5. Phai thu ve cho vay dai han,,,,,,
6. Phai thu dai han khac,,,,1360,1375,
7. Du phong phai thu dai han kho doi (*),,,,,,
II. Tai san co dinh,,71842,67979,58579,75388,
1. Tai san co dinh huu hinh,,67085,62913,58014,74331,
- Nguyen gia,,127946,130575,131648,149852,
- Gia tri hao mon luy ke (*),,(60861),(67662),(73633),(75520),
2. Tai san co dinh thue tai chinh,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
3. Tai san co dinh vo hinh,,4565,4607,564,1057,
- Nguyen gia,,5328,5434,1487,2189,
- Gia tri hao mon luy ke (*),,(763),(827),(923),(1133),
III. Bat dong san dau tu,,,,,,
- Nguyen gia,,,,,,
- Gia tri hao mon luy ke (*),,,,,,
IV. Tai san do dang dai han,,,,5175,22301,
1. Chi phi san xuat kinh doanh do dang dai han,,,,,,
2. Chi phi xay dung co ban do dang,,191,459,5175,22301,
V. Dau tu tai chinh dai han,,,72486,94121,118119,
1. Dau tu vao cong ty con,,,,,,
2. Dau tu vao cong ty lien ket. lien doanh,,,72486,87821,99119,
3. Dau tu gop von vao don vi khac,,,,6300,19000,
4. Du phong dau tu tai chinh dai han (*),,,,,,
5. Dau tu nam giu den ngay dao han,,,,,,
6. Dau tu dai han khac,,,,,,
VI. Tai san dai han khac,,44057,40147,37994,38471,
1. Chi phi tra truoc dai han,,41369,37758,36204,35506,
2. Tai san thue thu nhap hoan lai,,1777,1444,1790,2965,
3. Thiet bi vat tu phu tung thay the dai han,,,,,,
4. Tai san dai han khac,,911,945,,,
VII. Loi the thuong mai,,,,,,
TONG CONG TAI SAN,,729106,926776,1100662,1335147,
NGUON VON,,,,,,
A. NO PHAI TRA,,364601,540217,686553,887328,
I. No ngan han,,329120,527619,677369,868061,
1. Phai tra nguoi ban ngan han,,55693,66901,101984,169145,
2. Nguoi mua tra tien truoc ngan han,,87133,99450,106915,73135,
3. Thue va cac khoan phai nop Nha nuoc,,7920,18660,22229,27096,
4. Phai tra nguoi lao dong,,15871,21477,25592,33135,
5. Chi phi phai tra ngan han,,36102,50181,49833,98117,
6. Phai tra noi bo ngan han,,,,,,
7. Phai tra theo tien do ke hoach hop dong xay dung,,,,,,
8. Doanh thu chua thuc hien ngan han,,,,,,
9. Phai tra ngan han khac,,5933,4064,8395,20512,
10. Vay va no thue tai chinh ngan han,,94362,249379,354231,441869,
11. Du phong phai tra ngan han,,20567,10702,3520,3614,
12. Quy khen thuong phuc loi,,5539,6806,4670,1436,
13. Quy binh on gia,,,,,,
14. Giao dich mua ban lai trai phieu Chinh phu,,,,,,
II. No dai han,,35481,12598,9184,19267,
1. Phai tra nguoi ban dai han,,,,,,
2. Nguoi mua tra tien truoc dai han,,,,,,
3. Chi phi phai tra dai han,,,,,,
4. Phai tra noi bo ve von kinh doanh,,,,,,
5. Phai tra noi bo dai han,,,,,,
6. Doanh thu chua thuc hien dai han,,15104,527,,,
7. Phai tra dai han khac,,5213,5572,142,142,
8. Vay va no thue tai chinh dai han,,15164,6499,2638,12485,
9. Trai phieu chuyen doi,,,,,,
10. Co phieu uu dai (No),,,,,,
11. Thue thu nhap hoan lai phai tra,,,,,,
12. Du phong phai tra dai han,,,,6404,6640,
13. Quy phat trien khoa hoc va cong nghe,,,,,,
14. Du phong tro cap mat viec lam,,,,,,
B. VON CHU SO HUU,,325357,386559,414109,447818,
I. Von chu so huu,,325357,386559,414109,447818,
1. Von gop cua chu so huu,,162543,243749,243749,243749,
- Co phieu pho thong co quyen bieu quyet,,,,243749,243749,
- Co phieu uu dai,,,,,,
2. Thang du von co phan,,123423,42217,42217,42217,
3. Quyen chon chuyen doi trai phieu,,,,,,
4. Von khac cua chu so huu,,,,,,
5. Co phieu quy (*),,(268),(284),(284),(284),
6. Chenh lech danh gia lai tai san,,,,,,
7. Chenh lech ty gia hoi doai,,,,,,
8. Quy dau tu phat trien,,31527,33377,46250,47022,
9. Quy ho tro sap xep doanh nghiep,,,,,,
10. Quy khac thuoc von chu so huu,,,,,,
11. Loi nhuan sau thue chua phan phoi,,,57498,82177,115114,
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,29018,38378,
- LNST chua phan phoi ky nay,,,,53159,76736,
12. Nguon von dau tu XDCB,,,,,,
13. Loi ich co dong khong kiem soat,,,,,,
14. Quy du phong tai chinh,,8132,10002,,,
II. Nguon kinh phi va quy khac,,,,,,
1. Nguon kinh phi,,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,,
C. LOI ICH CO DONG THIEU SO,,39148,,,,
TONG CONG NGUON VON,,729106,926776,1100662,1335147,
